"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,Comentários,Salvamentos
18055157183384730,17841435973140253,araa_garcia,"Arami García","Demasiado real 🤣🤣❤️

#reels #contenido #viral #meme #parati",10,"01/21/2026 13:21",https://www.instagram.com/reel/DTyZdcYiRkO/,"Reel do Instagram",,Total,17249,,336,9,,12,0
18545709976018859,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","📱 Con este celular no necesitás pagar una fortuna
El Infinix HOT 60 Pro+ llega para romper el mito de que “caro es mejor” 🔥

👉 Si no querés seguir pagando de más,
el Infinix HOT 60 Pro+ es para vos.

#smartphone #megaelectronicos #paraguay #ciudaddeleste",50,"01/21/2026 13:01",https://www.instagram.com/reel/DTyXzAXD5tU/,"Reel do Instagram",,Total,10636,7721,177,32,5,19,42
18081861806563935,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","🎧🔥 Headset gamer que lleva tu experiencia a otro nivel
Sonido inmersivo, graves potentes y latencia ultra baja para que juegues sin delay y con total precisión 🎮⚡
Perfecto para quienes buscan rendimiento, comodidad y calidad profesional en cada partida.
Con un diseño moderno pensado para largas horas de uso… ni vas a querer quitártelo 👀
Y lo mejor: calidad gamer con un precio que sorprende 💸🔥

Disponible en Mega Electrónicos, sentí la diferencia en tu juego
#headsetgamer #haylou #gaming #gamers #setupgamer #audio #sonidoprofesional #tecnologia #gamerlife #lowlatency #paraguay",44,"04/14/2026 10:03",https://www.instagram.com/reel/DXHqeqxEolT/,"Reel do Instagram",,Total,3145,2152,34,7,1,0,1
18071837498262648,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","La línea Dr. Reju-All llegó y tenés que conocerla 👀💖

Somos distribuidores oficiales, con productos 100% originales,  la calidad y confianza que tu piel merece ✨

Si querés aprender a cuidar tu piel de la forma correcta, esta marca te va a encantar 🫶
No es por nada que es número 1 en ventas en Corea 🇰🇷🔥

Vení a descubrir el poder del skincare coreano con Dr. Reju-All 💕

#skincare #kbeauty #drrejuall #paraguay",68,"04/11/2026 05:05",https://www.instagram.com/reel/DW_aBxFCO0C/,"Reel do Instagram",,Total,6553,4324,107,25,5,6,19
18098988734090517,17841405757619794,adrianjuncos1,"𝑨𝑫𝑹𝑰𝑨𝑵 𝑱𝑼𝑵𝑪𝑶𝑺","Mirá esto porque es MUY bueno posta 👀💖

Estos productos con PDRN no son normales… están a otro nivel 😮‍🔥
Tipo, piel más linda, más glow, más uniforme… TODO.

Encima los conseguís en @megaelectronicosparaguay 🛍️✨

Yo los probé y se nota de verdad, no es chamuyo ✨
Es de esos productos que decís “ok… valió cada peso” 😏

Si querés mejorar la piel en serio, arrancá por acá 💅
Después no digas que no te avisé 😌💖",0,"04/10/2026 05:02",https://www.instagram.com/reel/DW80vJ_ES_q/,"Reel do Instagram",,Total,12686,,117,51,,2,0
17908515252199579,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","La Canon EOS R50 V es la opción ideal para llevar tu contenido a otro nivel 🔥
Compacta, potente y pensada para creadores que buscan calidad profesional sin complicarse 💯

🎥 Grabación en 4K
⚡ Enfoque automático rápido y preciso
📱 Perfecta para vlogs, reels y contenido diario
✨ Diseño liviano para llevarla a todos lados

Si querés empezar (o mejorar) tu contenido… esta es la cámara que necesitás 🚀

📍 Te esperamos en Mega Electrónicos

#canon #canoneosr50 #canonr50 #camaras #fotografia #video #creadoresdecontenido #vlog #tecnologia #paraguay #ciudaddeleste #megaelectronicos",37,"04/09/2026 14:01",https://www.instagram.com/reel/DW7Nz1xjhjZ/,"Reel do Instagram",,Total,4665,3206,75,17,2,11,27
18535126507069518,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Sorteo del Smart Tv de 50” 🤩",862,"04/09/2026 07:47",https://www.instagram.com/reel/DW6jCXqE_ib/,"Reel do Instagram",,Total,2718,1799,21,3,2,2,2
17987512025968831,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Hot Sale / 2do Sorteo Smart Tv de 50” 🤩",751,"04/08/2026 07:17",https://www.instagram.com/reel/DW36zEOE3KC/,"Reel do Instagram",,Total,2321,1650,27,2,1,2,2
18133405480532824,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","El HOT SALE está llegando a su fin y esta es tu última oportunidad para llevarte esos precios increíbles 💥

⚡ Hasta 80% OFF
🚚 Envíos gratis
💻 Exclusivo en la web
🎁 Beneficios y premios en tus compras

Si lo estabas pensando… es AHORA 👀
Después de hoy, estos precios no vuelven 😮‍🔥

Comprá ya antes de que se acabe 👇
🌐 www.megaeletronicos.com.py
No te quedes afuera… último día, últimas unidades ⏳🔥

#hotsale #megaelectronicos #ultimodia #ofertas #paraguay descuentos comprasonline tecnologia ciudaddeleste",0,"04/08/2026 06:19",https://www.instagram.com/p/DW30MfYFrjA/,"Carrossel do Instagram",,Total,3241,1398,9,0,2,0,3
18186368116375589,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Te van a sorprender estos auriculares 🎧✨
No es solo sonido… es otra experiencia 👀

Disponibles en Mega Electrónicos Paraguay ☺️
#auriculares #tecnologia #gadgets #sonido #musiclovers paraguay megacompras electrónica trending recomendados",0,"04/07/2026 17:01",https://www.instagram.com/reel/DW2U1f0E_g_/,"Reel do Instagram",,Total,3159,2304,35,2,3,0,3
