"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,"Visitas ao perfil",Respostas,Navegação,Seguimentos,"Cliques no link","Toques em figurinhas"
18202608061340162,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾",@celimax.global,18,"04/02/2026 06:17",https://www.instagram.com/stories/megaelectronicosparaguay/3866442176620868982,"Story do Instagram",,Total,1392,1185,4,1,3,0,1268,,11,
18101929595511044,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾",@celimax.global,10,"04/02/2026 06:09",https://www.instagram.com/stories/megaelectronicosparaguay/3866438430486676548,"Story do Instagram",,Total,1357,1203,3,0,2,0,1306,,5,
18419362654126871,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Perfume Masculino Armaf Dubai Nights Midnight EDP 100 ml GS 198.000 mil OBS: Producto sujeto a alteración de valor sin previo aviso",10,"04/14/2026 12:01",https://www.instagram.com/stories/megaelectronicosparaguay/3875312647470808706,"Story do Instagram",,Total,1576,1355,7,1,9,0,1497,,3,
17882603337518578,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Perfume Unisex Armaf Odyssey Limoni Fresh Edition EDP 100 ml GS 135.000 mil  OBS: Producto sujeto a alteración de valor sin previo aviso",18,"04/14/2026 11:55",https://www.instagram.com/stories/megaelectronicosparaguay/3875309821566846540,"Story do Instagram",,Total,1568,1390,6,0,4,0,1486,,3,
18077573855539868,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Perfume Femenino Armaf The Pride Of Armaf Rose EDP 100 ml GS 150.000 mil OBS: Producto sujeto a alteración de valor sin previo aviso",14,"04/14/2026 11:51",https://www.instagram.com/stories/megaelectronicosparaguay/3875308061779508678,"Story do Instagram",,Total,1635,1414,5,2,5,0,1539,,3,
18151030711467701,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Perfume Femenino Armaf Odyssey Candee Especial  EDP 100 GS 130.000 mil  OBS: Producto sujeto a alteración de valor sin previo aviso",18,"04/14/2026 11:46",https://www.instagram.com/stories/megaelectronicosparaguay/3875304977766516301,"Story do Instagram",,Total,1712,1480,8,1,3,0,1582,1,4,
18572931025012989,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Toda la línea MEDICUBE disponible aquí 👇🏼",8,"04/14/2026 07:42",https://www.instagram.com/stories/megaelectronicosparaguay/3875182552835893633,"Story do Instagram",,Total,1550,1345,4,0,4,0,1462,,9,
18099116882050017,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾",,19,"04/14/2026 07:19",https://www.instagram.com/stories/megaelectronicosparaguay/3875170974719773669,"Story do Instagram",,Total,2448,1920,13,3,1,1,1424,,,
18093721532153180,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Adaptador de Rejuvenecedor Facial Medicube Age-R Booster Cleanser  GS 671.000 mil OBS: Producto sujeto a alteración de valor sin previo aviso",18,"04/14/2026 06:19",https://www.instagram.com/stories/megaelectronicosparaguay/3875140688078417339,"Story do Instagram",,Total,1531,1368,5,1,,0,1442,,2,
17917669257143274,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Crema Facial Hidratante Medicube Red Cream Plus 100 ml GS 205.500 MIL OBS: Producto sujeto a alteración de valor sin previo aviso",16,"04/14/2026 06:15",https://www.instagram.com/stories/megaelectronicosparaguay/3875138709918825407,"Story do Instagram",,Total,1506,1394,5,0,1,0,1426,,,
