"Date","Hour","Active followers"
"6 de abril","0","2413"
"6 de abril","1","1415"
"6 de abril","2","858"
"6 de abril","3","636"
"6 de abril","4","739"
"6 de abril","5","1256"
"6 de abril","6","2313"
"6 de abril","7","3615"
"6 de abril","8","3463"
"6 de abril","9","3524"
"6 de abril","10","3740"
"6 de abril","11","4072"
"6 de abril","12","4783"
"6 de abril","13","4801"
"6 de abril","14","4193"
"6 de abril","15","4090"
"6 de abril","16","4312"
"6 de abril","17","4610"
"6 de abril","18","4963"
"6 de abril","19","5475"
"6 de abril","20","5776"
"6 de abril","21","5803"
"6 de abril","22","5137"
"6 de abril","23","3823"
"7 de abril","0","2388"
"7 de abril","1","1356"
"7 de abril","2","861"
"7 de abril","3","671"
"7 de abril","4","785"
"7 de abril","5","1290"
"7 de abril","6","2516"
"7 de abril","7","3815"
"7 de abril","8","3567"
"7 de abril","9","3566"
"7 de abril","10","3654"
"7 de abril","11","4039"
"7 de abril","12","4837"
"7 de abril","13","4631"
"7 de abril","14","4175"
"7 de abril","15","4100"
"7 de abril","16","4263"
"7 de abril","17","4594"
"7 de abril","18","4928"
"7 de abril","19","5529"
"7 de abril","20","5774"
"7 de abril","21","5798"
"7 de abril","22","5234"
"7 de abril","23","3896"
"8 de abril","0","2444"
"8 de abril","1","1373"
"8 de abril","2","859"
"8 de abril","3","670"
"8 de abril","4","784"
"8 de abril","5","1359"
"8 de abril","6","2464"
"8 de abril","7","3860"
"8 de abril","8","3479"
"8 de abril","9","3568"
"8 de abril","10","3686"
"8 de abril","11","4061"
"8 de abril","12","4772"
"8 de abril","13","4592"
"8 de abril","14","4068"
"8 de abril","15","3994"
"8 de abril","16","4088"
"8 de abril","17","4478"
"8 de abril","18","4861"
"8 de abril","19","5349"
"8 de abril","20","5473"
"8 de abril","21","5574"
"8 de abril","22","5179"
"8 de abril","23","3878"
"9 de abril","0","2473"
"9 de abril","1","1422"
"9 de abril","2","897"
"9 de abril","3","667"
"9 de abril","4","727"
"9 de abril","5","1331"
"9 de abril","6","2514"
"9 de abril","7","3806"
"9 de abril","8","3522"
"9 de abril","9","3559"
"9 de abril","10","3793"
"9 de abril","11","4013"
"9 de abril","12","4776"
"9 de abril","13","4678"
"9 de abril","14","4079"
"9 de abril","15","4037"
"9 de abril","16","4204"
"9 de abril","17","4466"
"9 de abril","18","4916"
"9 de abril","19","5283"
"9 de abril","20","5559"
"9 de abril","21","5670"
"9 de abril","22","5153"
"9 de abril","23","3972"
"10 de abril","0","2510"
"10 de abril","1","1468"
"10 de abril","2","917"
"10 de abril","3","679"
"10 de abril","4","772"
"10 de abril","5","1346"
"10 de abril","6","2508"
"10 de abril","7","3783"
"10 de abril","8","3541"
"10 de abril","9","3506"
"10 de abril","10","3637"
"10 de abril","11","4051"
"10 de abril","12","4715"
"10 de abril","13","4563"
"10 de abril","14","4095"
"10 de abril","15","4163"
"10 de abril","16","4195"
"10 de abril","17","4419"
"10 de abril","18","4884"
"10 de abril","19","5209"
"10 de abril","20","5356"
"10 de abril","21","5426"
"10 de abril","22","4936"
"10 de abril","23","3938"
"11 de abril","0","2682"
"11 de abril","1","1598"
"11 de abril","2","1017"
"11 de abril","3","792"
"11 de abril","4","781"
"11 de abril","5","1071"
"11 de abril","6","1835"
"11 de abril","7","3436"
"11 de abril","8","3622"
"11 de abril","9","3763"
"11 de abril","10","3841"
"11 de abril","11","4029"
"11 de abril","12","4444"
"11 de abril","13","4722"
"11 de abril","14","4507"
"11 de abril","15","4262"
"11 de abril","16","4414"
"11 de abril","17","4480"
"11 de abril","18","4814"
"11 de abril","19","5000"
"11 de abril","20","5100"
"11 de abril","21","0"
"11 de abril","22","0"
"11 de abril","23","0"
