"Date","Followers","Difference in followers from previous day"
"12 de abril","2001","89"
"13 de abril","2090","84"
"14 de abril","2174","86"
"15 de abril","2260","111"
"16 de abril","2371","104"
"17 de abril","2475","73"
"18 de abril","2548","69"
"19 de abril","2617","52"
"20 de abril","2669","67"
"21 de abril","2736","62"
"22 de abril","2798","42"
"23 de abril","2840","60"
"24 de abril","2900","42"
"25 de abril","2942","35"
"26 de abril","2977","34"
"27 de abril","3011","60"
"28 de abril","3071","56"
"29 de abril","3127","56"
"30 de abril","3183","54"
"1 de maio","3237","69"
"2 de maio","3306","66"
"3 de maio","3372","74"
"4 de maio","3446","54"
"5 de maio","3500","70"
"6 de maio","3570","65"
"7 de maio","3635","51"
"8 de maio","3686","56"
"9 de maio","3742","30"
"10 de maio","3772","52"
"11 de maio","3824","50"
"12 de maio","3874","48"
"13 de maio","3922","26"
"14 de maio","3948","35"
"15 de maio","3983","36"
"16 de maio","4019","24"
"17 de maio","4043","29"
"18 de maio","4072","24"
"19 de maio","4096","33"
"20 de maio","4129","25"
"21 de maio","4154","15"
"22 de maio","4169","20"
"23 de maio","4189","12"
"24 de maio","4201","30"
"25 de maio","4231","26"
"26 de maio","4257","29"
"27 de maio","4286","20"
"28 de maio","4306","22"
"29 de maio","4328","28"
"30 de maio","4356","23"
"31 de maio","4379","39"
"1 de junho","4418","36"
"2 de junho","4454","38"
"3 de junho","4492","46"
"4 de junho","4538","38"
"5 de junho","4576","29"
"6 de junho","4605","35"
"7 de junho","4640","41"
"8 de junho","4681","44"
"9 de junho","4725","28"
"10 de junho","4753","23"
"11 de junho","4776","22"
"12 de junho","4798","16"
"13 de junho","4814","20"
"14 de junho","4834","26"
"15 de junho","4860","17"
"16 de junho","4877","26"
"17 de junho","4903","35"
"18 de junho","4938","36"
"19 de junho","4974","25"
"20 de junho","4999","24"
"21 de junho","5023","24"
"22 de junho","5047","12"
"23 de junho","5059","32"
"24 de junho","5091","72"
"25 de junho","5163","59"
"26 de junho","5222","23"
"27 de junho","5245","12"
"28 de junho","5257","16"
"29 de junho","5273","9"
"30 de junho","5282","9"
"1 de julho","5291","10"
"2 de julho","5301","8"
"3 de julho","5309","9"
"4 de julho","5318","6"
"5 de julho","5324","5"
"6 de julho","5329","6"
"7 de julho","5335","11"
"8 de julho","5346","9"
"9 de julho","5355","4"
"10 de julho","5359","-1"
"11 de julho","5358","5"
"12 de julho","5363","7"
"13 de julho","5370","10"
"14 de julho","5380","11"
"15 de julho","5391","11"
"16 de julho","5402","9"
"17 de julho","5411","3"
"18 de julho","5414","6"
"19 de julho","5420","8"
"20 de julho","5428","8"
"21 de julho","5436","17"
"22 de julho","5453","10"
"23 de julho","5463","5"
"24 de julho","5468","2"
"25 de julho","5470","4"
"26 de julho","5474","7"
"27 de julho","5481","3"
"28 de julho","5484","6"
"29 de julho","5490","7"
"30 de julho","5497","10"
"31 de julho","5507","5"
"1 de agosto","5512","1"
"2 de agosto","5513","8"
"3 de agosto","5521","2"
"4 de agosto","5523","9"
"5 de agosto","5532","8"
"6 de agosto","5540","7"
"7 de agosto","5547","7"
"8 de agosto","5554","9"
"9 de agosto","5563","2"
"10 de agosto","5565","9"
