Cidades,Nome da cidade,Visualizações,Tempo de exibição (horas),Duração média da visualização
Total,,326175,866.2399,0:00:21
0x94ce448183a461d1:0x9ba94b08ff335bae,"São Paulo, SP, Brasil",13054,27.1591,0:00:18
0x9bde559108a05b:0x50dc426c672fd24e,"Rio de Janeiro, RJ, Brasil",3952,7.7217,0:00:16
0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,"Fortaleza - Zone , Fortaleza - CE, Brasil",1657,3.5619,0:00:17
0xa690cacacf2c33:0x5b35795e3ad23997,"Belo Horizonte, MG, Brasil",1392,2.4124,0:00:14
0x716112050422ebd:0xf71c84369573db9d,"Salvador, BA, Brasil",990,1.9488,0:00:16
0x935a3d18df9ae275:0x738470e469754a24,"Brasília - Plano Piloto, Brasília - DF, Brasil",963,2.2594,0:00:18
0x94dce35351cdb3dd:0x6d2f6ba5bacbe809,"Curitiba, PR, Brasil",756,1.1821,0:00:12
0x926c1bc8b37647b7:0x2b485c9ff765a9cc,"Manaus, AM, Brasil",751,1.1536,0:00:13
0x94c8c61de74b6325:0x17e53a6a2178c22a,"Campinas, SP, Brasil",666,1.1193,0:00:12
0x935ef6bd58d80867:0xef692bad20d2678e,"Goiânia, GO, Brasil",594,1.1754,0:00:14
0x95199cd2566acb1d:0x603111a89f87e91f,"Porto Alegre, RS, Brasil",569,1.0229,0:00:16
0x7ab196f94e5408b:0xe5800ef782bde3a6,"Recife, PE, Brasil",550,0.9706,0:00:13
0xd19331a61e4f33b:0x400ebbde49036d0,"Lisboa, Portugal",412,1.034,0:00:17
0x70146fcd6688849:0xee2c725b43e07653,"Maceió, AL, Brasil",330,0.8608,0:00:21
0x1a51f15cdc8d2c7d:0x850c1c5c5ecc5a92,"Luanda, Angola",307,1.6186,0:00:29
0x94cef53fb1b5e26d:0x974ce18d22c3555b,"Guarulhos, SP, Brasil",299,0.9077,0:00:27
0x7b3aaac26460531:0x5d8b404cf00fed69,"Natal, RN, Brasil",283,0.5044,0:00:13
0x7ace839019aa3d7:0x6e414a9c6d26db34,"João Pessoa, PB, Brasil",270,0.5111,0:00:15
0x9486e6726b2b9f27:0xf5a8469ebc84d2c1,"Campo Grande, MS, Brasil",253,0.402,0:00:15
0x92a461af84756ce1:0x570d540215864c35,"Belém, PA, Brasil",252,0.4123,0:00:14
0x71ab04015be27cd:0x804434fd92ec3b36,"Aracaju, SE, Brasil",231,0.494,0:00:14
0x939da56670d84fc5:0x4e504e08900e510e,"Cuiabá - Coxipó da Ponte, Cuiabá - MT, Brasil",192,0.3572,0:00:15
0x94b9bf1d68acc21d:0x37b8ee0abedeea39,"Ribeirão Preto, SP, Brasil",179,0.3208,0:00:15
0x995d694889f955:0x23ff502568217834,"Nova Iguaçu, RJ, Brasil",176,0.3713,0:00:16
0x7f68ff06f7f6d21:0x983102e459a3de47,"São Luís, MA, Brasil",174,0.3559,0:00:15
0xd2465abc4e153c1:0xa648d95640b114bc,"Porto, Portugal",174,0.3099,0:00:13
0x9972edfbe838f5:0x672bb060c280a52a,"Duque de Caxias, RJ, Brasil",163,0.2814,0:00:14
0x94cc4bb3858cc2e7:0xba25a33168f8c1,"São José dos Campos, SP, Brasil",163,0.2358,0:00:13
0x94c5f54bcad87989:0x4a9099fb9d10cb8e,"Sorocaba, SP, Brasil",163,0.3034,0:00:14
0x78e32519a8599c7:0xd4483d47c29fd9c6,"Teresina, PI, Brasil",158,0.3703,0:00:15
0x94ce4278871d7eef:0x9eaaca862adb4ede,"Santo André, SP, Brasil",151,0.2862,0:00:15
0x94deafdc40afbc4b:0x4b39d148cac10ae7,"Joinville - Pirabeiraba, Joinville - SC, Brasil",141,0.2746,0:00:15
0x1ee69723b666da55:0x42497f579a6bb442,"Maputo, Moçambique",129,0.4381,0:00:17
0x71439dbd0766da9:0xed4d58d8df9d5ffe,"Feira de Santana - Maria Quitéria, Feira de Santana - BA, Brasil",127,0.3184,0:00:15
