Data,Cidades,Nome da cidade,Visualizações
2025-04-13,0x716112050422ebd:0xf71c84369573db9d,"Salvador, BA, Brasil",0
2025-04-14,0x716112050422ebd:0xf71c84369573db9d,"Salvador, BA, Brasil",0
2025-04-15,0x716112050422ebd:0xf71c84369573db9d,"Salvador, BA, Brasil",35
2025-04-16,0x716112050422ebd:0xf71c84369573db9d,"Salvador, BA, Brasil",217
2025-04-17,0x716112050422ebd:0xf71c84369573db9d,"Salvador, BA, Brasil",0
2025-04-18,0x716112050422ebd:0xf71c84369573db9d,"Salvador, BA, Brasil",0
2025-04-19,0x716112050422ebd:0xf71c84369573db9d,"Salvador, BA, Brasil",0
2025-04-20,0x716112050422ebd:0xf71c84369573db9d,"Salvador, BA, Brasil",0
2025-04-21,0x716112050422ebd:0xf71c84369573db9d,"Salvador, BA, Brasil",0
2025-04-22,0x716112050422ebd:0xf71c84369573db9d,"Salvador, BA, Brasil",0
2025-04-23,0x716112050422ebd:0xf71c84369573db9d,"Salvador, BA, Brasil",0
2025-04-24,0x716112050422ebd:0xf71c84369573db9d,"Salvador, BA, Brasil",0
2025-04-25,0x716112050422ebd:0xf71c84369573db9d,"Salvador, BA, Brasil",71
2025-04-26,0x716112050422ebd:0xf71c84369573db9d,"Salvador, BA, Brasil",0
2025-04-27,0x716112050422ebd:0xf71c84369573db9d,"Salvador, BA, Brasil",24
2025-04-28,0x716112050422ebd:0xf71c84369573db9d,"Salvador, BA, Brasil",0
2025-04-29,0x716112050422ebd:0xf71c84369573db9d,"Salvador, BA, Brasil",0
2025-04-30,0x716112050422ebd:0xf71c84369573db9d,"Salvador, BA, Brasil",0
2025-05-01,0x716112050422ebd:0xf71c84369573db9d,"Salvador, BA, Brasil",0
2025-05-02,0x716112050422ebd:0xf71c84369573db9d,"Salvador, BA, Brasil",0
2025-05-03,0x716112050422ebd:0xf71c84369573db9d,"Salvador, BA, Brasil",0
2025-05-04,0x716112050422ebd:0xf71c84369573db9d,"Salvador, BA, Brasil",0
2025-05-05,0x716112050422ebd:0xf71c84369573db9d,"Salvador, BA, Brasil",0
2025-05-06,0x716112050422ebd:0xf71c84369573db9d,"Salvador, BA, Brasil",0
2025-05-07,0x716112050422ebd:0xf71c84369573db9d,"Salvador, BA, Brasil",0
2025-05-08,0x716112050422ebd:0xf71c84369573db9d,"Salvador, BA, Brasil",0
2025-05-09,0x716112050422ebd:0xf71c84369573db9d,"Salvador, BA, Brasil",126
2025-05-10,0x716112050422ebd:0xf71c84369573db9d,"Salvador, BA, Brasil",0
2025-05-11,0x716112050422ebd:0xf71c84369573db9d,"Salvador, BA, Brasil",0
2025-05-12,0x716112050422ebd:0xf71c84369573db9d,"Salvador, BA, Brasil",0
2025-05-13,0x716112050422ebd:0xf71c84369573db9d,"Salvador, BA, Brasil",0
2025-05-14,0x716112050422ebd:0xf71c84369573db9d,"Salvador, BA, Brasil",0
