Conteúdo,Título do vídeo,Horário de publicação do vídeo,Duração,Visualizações,Tempo de exibição (horas),Inscritos,Duração média da visualização,Impressões,Taxa de cliques de impressões (%)
Total,,,,326175,866.2399,585,0:00:21,470115,4.64
p_MfRzD6DDM,Oque querem fazer com o marketing quando vai gravar 🤣 #brasil #viralvideos #trending,"Apr 16, 2025",18,20641,56.9564,10,0:00:19,487,2.67
8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,20534,89.2507,43,0:00:27,121007,3.55
mr26WgY5m-U,Quem mais já quebrou a primeira promessa de 2026?,"Jan 2, 2026",11,16007,30.3799,7,0:00:12,510,1.57
G6cRRzf3Ox8,Segundo día Crazy Week Mega Eletrônicos,"May 10, 2025",36,13123,17.6632,3,0:00:17,1102,0.91
_fN6SsIEXRw,"Se até o Neymar está usando, já sabe que é sucesso, né?","Mar 5, 2025",26,9610,34.2759,9,0:00:20,33302,11.5
mVP82s4MnaM,O Dia dos Namorados tá chegando e as orações tão ficando cada vez mais fortes 🙏💔,"Jun 11, 2025",21,8138,9.6945,4,0:00:18,2016,1.29
bl1YXefTEsI,"🙃 Pelo visto, o estresse éramos nós","Apr 25, 2025",6,6299,4.854,1,0:00:07,214,1.87
ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,5420,10.3727,7,0:00:16,304,4.28
SumvRjo7ojw,Mega Arraia 20-06,"Jun 19, 2025",17,4696,12.088,6,0:00:13,384,0.52
hJU0rPYEKxo,Mega arraia 28/08 com Mariana menezes,"Jun 28, 2025",28,4580,3.8208,2,0:00:15,727,0.83
OiDKvLX055o,Itel a90,"Jul 13, 2025",48,4161,25.9143,12,0:00:33,13695,5.8
UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,3785,7.8851,2,0:00:15,398,1.51
-8nwo4L1VfY,Audisaturday 03-05-2025,"May 4, 2025",38,3761,4.0242,1,0:00:15,832,0.48
xgQjeeplapQ,Rumores do iPhone 18 🍎👀,"Jan 18, 2026",43,3256,15.5226,5,0:00:33,1814,4.69
L6KE-Rk2TPE,6 de enero de 2026,"Jan 6, 2026",50,2908,9.793,4,0:00:30,382,1.31
FyLPt0ugfvQ,Vale a pena comprar produtos apple no paraguai?,"Mar 24, 2025",28,2816,11.9395,16,0:00:24,17458,4.11
bLLPVxyqBHs,Gravador de voz ideal para aulas e reuniões!,"Apr 13, 2025",47,2584,5.9674,3,0:00:29,6780,4.31
-8Ek0NiqAuA,Xiaomi Redmi note 15,"Jan 4, 2026",50,2497,4.9687,6,0:00:20,2140,8.74
47XB_ByylVQ,"🔒 Fechado, funciona como um celular tradicional, totalmente aberto, se transforma quase em um tablet","Dec 27, 2025",92,2369,5.478,4,0:00:23,736,2.31
pJLDBFkTZlw,Quando você chega procurando pelo vendedor que te atendeu no whats 🤣,"Apr 19, 2025",22,2352,2.7912,2,0:00:13,243,1.65
TsDOcIV4guw,O celular mais resistente do mercado! 🚀,"Sep 25, 2025",55,2297,10.2235,2,0:00:28,6432,4.77
98GuATPpMW0,"🎧✨ Comunicação profissional, sem fios e sem limites","Mar 20, 2026",51,2213,3.1666,4,0:00:17,349,2.01
ZPUn1Igncfo,"Xiaomi 17 pro Max, disponível para venda 🤩","Dec 9, 2025",81,2210,15.8332,26,0:00:45,6174,8.91
5BtaI3TLubY,🛍️ Quer pagar barato em eletrônicos de marca?,"Apr 30, 2025",10,2195,3.2642,1,0:00:10,1093,1.1
i-8AlHUW8rw,Mini pc Econômico.,"Jan 30, 2026",53,2181,13.126,19,0:00:34,409,4.16
nn77A4Alv8o,Novo iPhone Air,"Sep 21, 2025",24,2138,3.0784,3,0:00:17,348,2.87
ItqsJRgID1E,Mega Beauty: até 75% Off em cosméticos,"Jan 23, 2026",49,2126,2.841,1,0:00:14,271,1.48
6As-sOnYP-o,O dia a dia dos vendedores  😩#vendedor,"Jan 29, 2026",17,2125,3.9061,1,0:00:17,228,2.19
f-be0lV5QtI,Caixas de som da Aiwa? 😬🫣,"Jan 5, 2026",51,2123,4.1549,3,0:00:20,2645,3.4
L8YtkeKHJk4,Suas compras no paraguai 🇵🇾🤩,"Feb 10, 2025",28,2115,7.0157,25,0:00:19,10956,6.79
 -BAcsjzgoMM,"O novo lançamento da Apple, o iPhone 17?","Sep 8, 2025",39,2050,4.7856,5,0:00:20,8581,1.93
IZUsbKBKcjk,Cliente merece sempre mais 🤩✨,"Sep 18, 2025",40,1931,4.2429,3,0:00:21,970,4.33
NimorkKFKV0,Tablet Black Shark Pad 5 #shorts,"Jan 24, 2025",37,1915,9.7765,4,0:00:29,9655,7.61
fYTDyxIFGNg,"Mega Beauty: Skincare coreano a partir de U$ 0,99","Jan 25, 2026",45,1897,3.0923,3,0:00:17,517,3.09
Ahoo6v9J4qc,Celulares por menos de R$1000,"Aug 31, 2025",32,1859,2.8826,4,0:00:15,639,3.29
zal8pDar2Mk,"✨ Ano novo, Iphone novo","Jan 6, 2026",59,1848,5.069,6,0:00:25,432,7.64
tKGUmtktcNA,👉 Audisat Xvlog vs. Hollyland Lark M2,"Sep 12, 2025",44,1795,5.7925,3,0:00:24,2574,7.11
pQXWbJ4k48U,Quem sabe mais de cosméticos?,"Aug 24, 2025",63,1787,3.6852,1,0:00:20,361,1.94
p8P5s7LzCJs,📚💻 Seu velho notebook já não aguenta mais?,"May 24, 2025",38,1786,3.0598,0,0:00:16,932,1.18
GLA07l-9rH0,F7 pro o celular que vai quebrar a concorrência,"Jun 3, 2025",25,1785,3.5346,2,0:00:20,484,3.31
sJOa6KpTbSA,Winie - Xiaomi 17 Pro Max,"Oct 31, 2025",60,1782,3.9483,4,0:00:23,434,3
w2BlnqdnN0M,Quer ganhar um iPhone 17 Pro Max?,"Nov 19, 2025",33,1778,3.8798,5,0:00:21,682,2.79
E80LwmYlhEQ,Começou a contagem regressiva,"Nov 15, 2025",47,1752,2.1627,1,0:00:10,347,3.46
hPRh3fJY0e4,Moto x70 air,"Oct 14, 2025",40,1691,6.0244,5,0:00:26,3047,7.25
_Y-47mBaHBo,🎧 Esse é o fone que tá fazendo MUITA gente esquecer os concorrentes famosos…,"Oct 14, 2025",35,1677,2.943,1,0:00:14,4393,1.53
