Data,Conteúdo,Título do vídeo,Horário de publicação do vídeo,Duração,Visualizações
2025-04-13,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,77
2025-04-14,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,112
2025-04-15,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,95
2025-04-16,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,83
2025-04-17,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,98
2025-04-18,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,93
2025-04-19,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,97
2025-04-20,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,81
2025-04-21,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,98
2025-04-22,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,174
2025-04-23,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,182
2025-04-24,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,170
2025-04-25,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,166
2025-04-26,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,137
2025-04-27,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,84
2025-04-28,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,169
2025-04-29,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,153
2025-04-30,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,212
2025-05-01,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,157
2025-05-02,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,202
2025-05-03,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,177
2025-05-04,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,151
2025-05-05,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,169
2025-05-06,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,234
2025-05-07,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,242
2025-05-08,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,212
2025-05-09,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,310
2025-05-10,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,295
2025-05-11,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,133
2025-05-12,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,195
2025-05-13,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,225
2025-05-14,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,189
2025-05-15,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,198
2025-05-16,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,184
2025-05-17,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,206
2025-05-18,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,152
2025-05-19,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,182
2025-05-20,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,172
2025-05-21,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,171
2025-05-22,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,237
2025-05-23,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,181
2025-05-24,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,87
2025-05-25,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,100
2025-05-26,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,150
2025-05-27,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,137
2025-05-28,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,159
2025-05-29,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,105
2025-05-30,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,115
2025-05-31,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,127
2025-06-01,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,69
2025-06-02,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,92
2025-06-03,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,84
2025-06-04,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,115
2025-06-05,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,96
2025-06-06,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,101
2025-06-07,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,70
2025-06-08,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,61
