Origem do tráfego,Visualizações,Tempo de exibição (horas),Duração média da visualização,Impressões,Taxa de cliques de impressões (%)
Total,326175,866.2399,0:00:21,470115,4.64
Feed dos Shorts,244659,479.7724,0:00:18,,
Pesquisa do YouTube,64531,280.0999,0:00:27,383400,4.92
Páginas do canal,7738,28.094,0:00:26,61050,2.16
Externa,4933,45.7662,0:00:36,,
Recursos de navegação,2014,17.8644,0:00:39,21597,6.88
Outros recursos do YouTube,991,3.5257,0:00:24,,
Notificações,623,7.3862,0:01:17,,
Páginas de hashtag,288,0.8572,0:00:19,,
Vídeos sugeridos,154,1.3067,0:00:37,3308,3.3
Páginas de música,95,0.2195,0:00:16,,
Origem direta ou desconhecida,61,0.5677,0:00:33,,
Playlists,56,0.7107,0:00:47,760,3.95
Feed vertical ao vivo,1,0,,,
