Sistema operacional,Visualizações,Tempo de exibição (horas),Duração média da visualização
Total,326175,866.2399,0:00:21
Android,266945,640.8224,0:00:20
iOS,30918,96.8043,0:00:22
Windows,8277,42.1319,0:00:32
Smart TV,7400,28.7737,0:00:23
WebOS,4642,21.8005,0:00:28
SO Roku,3576,12.3794,0:00:21
Macintosh,799,7.1117,0:00:43
Amazon Fire OS,759,3.0435,0:00:24
Playstation,438,2.0073,0:00:25
Linux,178,0.7164,0:00:25
Nintendo Switch,154,0.7975,0:00:30
ChromeOS,139,0.4925,0:00:21
Xbox,131,0.6234,0:00:28
Vidaa,124,0.4,0:00:19
Chromecast,26,0.1019,0:00:22
Apple tvOS,15,0.0611,0:00:21
Tizen,5,0.0256,0:00:23
KaiOS,1,0.0018,0:00:06
