Data,Tipo de conteúdo,Visualizações
2025-04-13,Shorts,2496
2025-04-14,Shorts,270
2025-04-15,Shorts,2774
2025-04-16,Shorts,18472
2025-04-17,Shorts,600
2025-04-18,Shorts,754
2025-04-19,Shorts,2700
2025-04-20,Shorts,294
2025-04-21,Shorts,1260
2025-04-22,Shorts,891
2025-04-23,Shorts,707
2025-04-24,Shorts,309
2025-04-25,Shorts,6593
2025-04-26,Shorts,556
2025-04-27,Shorts,1955
2025-04-28,Shorts,569
2025-04-29,Shorts,440
2025-04-30,Shorts,898
2025-05-01,Shorts,959
2025-05-02,Shorts,436
2025-05-03,Shorts,4753
2025-05-04,Shorts,2537
2025-05-05,Shorts,428
2025-05-06,Shorts,649
2025-05-07,Shorts,1226
2025-05-08,Shorts,459
2025-05-09,Shorts,13364
2025-05-10,Shorts,1282
2025-05-11,Shorts,387
2025-05-12,Shorts,295
2025-05-13,Shorts,324
2025-05-14,Shorts,322
2025-05-15,Shorts,561
2025-05-16,Shorts,260
2025-05-17,Shorts,283
2025-05-18,Shorts,265
2025-05-19,Shorts,440
2025-05-20,Shorts,378
2025-05-21,Shorts,355
2025-05-22,Shorts,1459
2025-05-23,Shorts,736
2025-05-24,Shorts,3952
2025-05-25,Shorts,200
2025-05-26,Shorts,325
2025-05-27,Shorts,1397
2025-05-28,Shorts,1349
2025-05-29,Shorts,566
2025-05-30,Shorts,316
2025-05-31,Shorts,1419
2025-06-01,Shorts,508
2025-06-02,Shorts,373
2025-06-03,Shorts,1887
2025-06-04,Shorts,1740
2025-06-05,Shorts,1153
2025-06-06,Shorts,279
2025-06-07,Shorts,710
2025-06-08,Shorts,212
2025-06-09,Shorts,163
2025-06-10,Shorts,1376
2025-06-11,Shorts,5530
2025-06-12,Shorts,2604
2025-06-13,Shorts,534
2025-06-14,Shorts,619
2025-06-15,Shorts,1678
2025-06-16,Shorts,103
2025-06-17,Shorts,278
2025-06-18,Shorts,704
2025-06-19,Shorts,1261
2025-06-20,Shorts,4668
2025-06-21,Shorts,1099
2025-06-22,Shorts,202
2025-06-23,Shorts,1211
2025-06-24,Shorts,1256
2025-06-25,Shorts,1022
2025-06-26,Shorts,1479
2025-06-27,Shorts,1272
2025-06-28,Shorts,6139
2025-06-29,Shorts,116
2025-06-30,Shorts,124
2025-07-01,Shorts,237
2025-07-02,Shorts,806
2025-07-03,Shorts,133
2025-07-04,Shorts,725
2025-07-05,Shorts,122
2025-07-06,Shorts,147
2025-07-07,Shorts,121
2025-07-08,Shorts,84
2025-07-09,Shorts,91
2025-07-10,Shorts,109
2025-07-11,Shorts,137
2025-07-12,Shorts,122
2025-07-13,Shorts,282
