Data,Visualizações
2025-04-13,2506
2025-04-14,272
2025-04-15,2778
2025-04-16,18478
2025-04-17,601
2025-04-18,755
2025-04-19,2701
2025-04-20,299
2025-04-21,1264
2025-04-22,900
2025-04-23,712
2025-04-24,312
2025-04-25,6600
2025-04-26,558
2025-04-27,1959
2025-04-28,571
2025-04-29,444
2025-04-30,905
2025-05-01,970
2025-05-02,443
2025-05-03,4761
2025-05-04,2544
2025-05-05,430
2025-05-06,658
2025-05-07,1228
2025-05-08,465
2025-05-09,13365
2025-05-10,1283
2025-05-11,390
2025-05-12,297
2025-05-13,329
2025-05-14,331
2025-05-15,571
2025-05-16,264
2025-05-17,287
2025-05-18,271
2025-05-19,443
2025-05-20,384
2025-05-21,356
2025-05-22,1464
2025-05-23,739
2025-05-24,3956
2025-05-25,201
2025-05-26,331
2025-05-27,1400
2025-05-28,1352
2025-05-29,567
2025-05-30,322
2025-05-31,1423
2025-06-01,509
2025-06-02,374
2025-06-03,1891
2025-06-04,1745
2025-06-05,1154
2025-06-06,283
2025-06-07,715
2025-06-08,217
2025-06-09,172
2025-06-10,1380
2025-06-11,5536
2025-06-12,2610
2025-06-13,536
2025-06-14,620
2025-06-15,1683
2025-06-16,106
2025-06-17,285
2025-06-18,708
2025-06-19,1268
2025-06-20,4670
2025-06-21,1105
2025-06-22,209
2025-06-23,1220
2025-06-24,1258
2025-06-25,1028
2025-06-26,1486
2025-06-27,1277
2025-06-28,6140
2025-06-29,122
2025-06-30,129
2025-07-01,238
2025-07-02,808
2025-07-03,136
2025-07-04,727
2025-07-05,129
2025-07-06,148
2025-07-07,129
2025-07-08,91
2025-07-09,95
2025-07-10,115
2025-07-11,138
2025-07-12,126
2025-07-13,286
2025-07-14,145
2025-07-15,182
2025-07-16,145
2025-07-17,177
2025-07-18,132
2025-07-19,154
2025-07-20,140
2025-07-21,291
2025-07-22,142
2025-07-23,707
2025-07-24,141
2025-07-25,106
2025-07-26,83
2025-07-27,143
2025-07-28,127
2025-07-29,203
2025-07-30,107
2025-07-31,136
2025-08-01,1206
2025-08-02,122
2025-08-03,138
2025-08-04,462
2025-08-05,107
2025-08-06,99
2025-08-07,503
2025-08-08,143
2025-08-09,551
2025-08-10,143
2025-08-11,195
2025-08-12,356
2025-08-13,165
2025-08-14,186
2025-08-15,139
2025-08-16,1465
2025-08-17,180
2025-08-18,234
2025-08-19,164
2025-08-20,476
2025-08-21,924
2025-08-22,557
2025-08-23,1844
2025-08-24,255
2025-08-25,137
2025-08-26,156
2025-08-27,178
2025-08-28,452
2025-08-29,116
2025-08-30,143
2025-08-31,1996
2025-09-01,103
2025-09-02,1583
2025-09-03,127
2025-09-04,130
2025-09-05,383
2025-09-06,124
2025-09-07,154
2025-09-08,2042
2025-09-09,921
2025-09-10,200
2025-09-11,162
2025-09-12,1499
2025-09-13,135
2025-09-14,115
2025-09-15,185
2025-09-16,308
2025-09-17,513
2025-09-18,1934
2025-09-19,183
2025-09-20,478
2025-09-21,2290
2025-09-22,504
2025-09-23,329
2025-09-24,232
2025-09-25,1264
2025-09-26,249
2025-09-27,444
2025-09-28,233
2025-09-29,157
2025-09-30,1106
2025-10-01,152
2025-10-02,178
2025-10-03,146
2025-10-04,148
2025-10-05,168
2025-10-06,400
2025-10-07,664
2025-10-08,649
2025-10-09,696
2025-10-10,1352
2025-10-11,397
2025-10-12,215
2025-10-13,238
2025-10-14,1692
2025-10-15,270
2025-10-16,1069
2025-10-17,168
2025-10-18,176
2025-10-19,155
2025-10-20,178
2025-10-21,167
2025-10-22,155
2025-10-23,120
2025-10-24,114
2025-10-25,142
2025-10-26,168
2025-10-27,204
2025-10-28,221
2025-10-29,166
2025-10-30,947
2025-10-31,1767
2025-11-01,308
2025-11-02,172
2025-11-03,731
2025-11-04,668
2025-11-05,405
2025-11-06,405
2025-11-07,152
2025-11-08,1485
2025-11-09,300
2025-11-10,189
2025-11-11,221
2025-11-12,448
2025-11-13,344
2025-11-14,260
2025-11-15,1868
2025-11-16,213
2025-11-17,370
2025-11-18,1552
2025-11-19,1994
2025-11-20,606
2025-11-21,203
2025-11-22,192
2025-11-23,192
2025-11-24,469
2025-11-25,183
2025-11-26,191
2025-11-27,180
2025-11-28,180
2025-11-29,148
2025-11-30,169
2025-12-01,196
2025-12-02,591
2025-12-03,182
2025-12-04,176
2025-12-05,226
2025-12-06,161
2025-12-07,188
2025-12-08,288
2025-12-09,1458
2025-12-10,368
2025-12-11,1452
2025-12-12,1527
2025-12-13,423
2025-12-14,993
2025-12-15,1790
2025-12-16,414
2025-12-17,231
2025-12-18,238
2025-12-19,219
2025-12-20,159
2025-12-21,220
2025-12-22,182
2025-12-23,167
2025-12-24,166
2025-12-25,196
2025-12-26,238
2025-12-27,2404
2025-12-28,155
2025-12-29,196
2025-12-30,205
2025-12-31,365
2026-01-01,175
2026-01-02,7755
2026-01-03,4688
2026-01-04,5520
2026-01-05,3560
2026-01-06,5927
2026-01-07,337
2026-01-08,582
2026-01-09,327
2026-01-10,707
2026-01-11,205
2026-01-12,232
2026-01-13,215
2026-01-14,2241
2026-01-15,240
2026-01-16,1083
2026-01-17,1792
2026-01-18,1962
2026-01-19,891
2026-01-20,1557
2026-01-21,4616
2026-01-22,658
2026-01-23,2405
2026-01-24,252
2026-01-25,1952
2026-01-26,325
2026-01-27,229
2026-01-28,445
2026-01-29,2028
2026-01-30,1808
2026-01-31,1061
2026-02-01,680
2026-02-02,455
2026-02-03,365
2026-02-04,399
2026-02-05,2371
2026-02-06,252
2026-02-07,1204
2026-02-08,359
2026-02-09,240
2026-02-10,245
2026-02-11,204
2026-02-12,1637
2026-02-13,1520
2026-02-14,1487
2026-02-15,511
2026-02-16,317
2026-02-17,403
2026-02-18,1589
2026-02-19,705
2026-02-20,2038
2026-02-21,1007
2026-02-22,1299
2026-02-23,1198
2026-02-24,1558
2026-02-25,874
2026-02-26,557
2026-02-27,882
2026-02-28,2055
2026-03-01,710
2026-03-02,355
2026-03-03,395
2026-03-04,1776
2026-03-05,475
2026-03-06,874
2026-03-07,612
2026-03-08,259
2026-03-09,792
2026-03-10,822
2026-03-11,1972
2026-03-12,1908
2026-03-13,1198
2026-03-14,378
2026-03-15,283
2026-03-16,534
