Data,Tipo de dispositivo,Visualizações
2025-04-13,Computador,110
2025-04-14,Computador,24
2025-04-15,Computador,44
2025-04-16,Computador,352
2025-04-17,Computador,22
2025-04-18,Computador,46
2025-04-19,Computador,46
2025-04-20,Computador,9
2025-04-21,Computador,29
2025-04-22,Computador,51
2025-04-23,Computador,12
2025-04-24,Computador,18
2025-04-25,Computador,211
2025-04-26,Computador,16
2025-04-27,Computador,79
2025-04-28,Computador,24
2025-04-29,Computador,16
2025-04-30,Computador,23
2025-05-01,Computador,13
2025-05-02,Computador,28
2025-05-03,Computador,18
2025-05-04,Computador,125
2025-05-05,Computador,21
2025-05-06,Computador,31
2025-05-07,Computador,37
2025-05-08,Computador,10
2025-05-09,Computador,234
2025-05-10,Computador,21
2025-05-11,Computador,25
2025-05-12,Computador,21
2025-05-13,Computador,24
2025-05-14,Computador,16
2025-05-15,Computador,33
2025-05-16,Computador,23
2025-05-17,Computador,6
2025-05-18,Computador,15
2025-05-19,Computador,15
2025-05-20,Computador,27
2025-05-21,Computador,20
2025-05-22,Computador,22
2025-05-23,Computador,16
2025-05-24,Computador,78
2025-05-25,Computador,6
2025-05-26,Computador,8
2025-05-27,Computador,32
2025-05-28,Computador,28
2025-05-29,Computador,15
2025-05-30,Computador,10
2025-05-31,Computador,27
2025-06-01,Computador,11
2025-06-02,Computador,21
2025-06-03,Computador,60
2025-06-04,Computador,21
2025-06-05,Computador,31
2025-06-06,Computador,14
2025-06-07,Computador,29
2025-06-08,Computador,14
2025-06-09,Computador,22
2025-06-10,Computador,28
2025-06-11,Computador,103
2025-06-12,Computador,114
2025-06-13,Computador,13
2025-06-14,Computador,10
2025-06-15,Computador,31
2025-06-16,Computador,7
2025-06-17,Computador,15
2025-06-18,Computador,21
2025-06-19,Computador,12
2025-06-20,Computador,35
2025-06-21,Computador,6
2025-06-22,Computador,11
2025-06-23,Computador,35
2025-06-24,Computador,28
2025-06-25,Computador,30
2025-06-26,Computador,43
2025-06-27,Computador,30
2025-06-28,Computador,55
2025-06-29,Computador,4
2025-06-30,Computador,7
2025-07-01,Computador,5
2025-07-02,Computador,15
2025-07-03,Computador,6
2025-07-04,Computador,33
2025-07-05,Computador,2
2025-07-06,Computador,3
2025-07-07,Computador,4
2025-07-08,Computador,2
2025-07-09,Computador,17
2025-07-10,Computador,24
2025-07-11,Computador,9
2025-07-12,Computador,12
2025-07-13,Computador,3
2025-07-14,Computador,23
2025-07-15,Computador,33
2025-07-16,Computador,3
2025-07-17,Computador,7
2025-07-18,Computador,6
2025-07-19,Computador,9
2025-07-20,Computador,3
2025-07-21,Computador,15
2025-07-22,Computador,17
2025-07-23,Computador,13
2025-07-24,Computador,10
2025-07-25,Computador,15
2025-07-26,Computador,0
2025-07-27,Computador,6
2025-07-28,Computador,10
2025-07-29,Computador,13
2025-07-30,Computador,24
2025-07-31,Computador,5
2025-08-01,Computador,47
2025-08-02,Computador,8
2025-08-03,Computador,25
2025-08-04,Computador,11
2025-08-05,Computador,11
2025-08-06,Computador,10
2025-08-07,Computador,13
2025-08-08,Computador,15
2025-08-09,Computador,15
2025-08-10,Computador,5
2025-08-11,Computador,11
2025-08-12,Computador,12
2025-08-13,Computador,12
2025-08-14,Computador,31
2025-08-15,Computador,15
2025-08-16,Computador,17
2025-08-17,Computador,8
2025-08-18,Computador,11
2025-08-19,Computador,15
2025-08-20,Computador,23
2025-08-21,Computador,25
2025-08-22,Computador,10
2025-08-23,Computador,20
2025-08-24,Computador,5
2025-08-25,Computador,19
2025-08-26,Computador,4
2025-08-27,Computador,14
2025-08-28,Computador,13
2025-08-29,Computador,5
2025-08-30,Computador,5
2025-08-31,Computador,34
2025-09-01,Computador,15
2025-09-02,Computador,76
2025-09-03,Computador,10
2025-09-04,Computador,9
2025-09-05,Computador,20
2025-09-06,Computador,7
2025-09-07,Computador,6
2025-09-08,Computador,37
2025-09-09,Computador,33
2025-09-10,Computador,28
2025-09-11,Computador,5
2025-09-12,Computador,35
2025-09-13,Computador,4
2025-09-14,Computador,22
2025-09-15,Computador,11
2025-09-16,Computador,11
2025-09-17,Computador,14
2025-09-18,Computador,66
2025-09-19,Computador,17
2025-09-20,Computador,7
2025-09-21,Computador,35
2025-09-22,Computador,29
2025-09-23,Computador,6
2025-09-24,Computador,8
2025-09-25,Computador,20
2025-09-26,Computador,5
2025-09-27,Computador,18
2025-09-28,Computador,45
2025-09-29,Computador,13
2025-09-30,Computador,71
2025-10-01,Computador,11
2025-10-02,Computador,4
2025-10-03,Computador,24
2025-10-04,Computador,5
2025-10-05,Computador,2
2025-10-06,Computador,32
2025-10-07,Computador,23
2025-10-08,Computador,40
2025-10-09,Computador,34
2025-10-10,Computador,15
2025-10-11,Computador,19
2025-10-12,Computador,1
2025-10-13,Computador,19
2025-10-14,Computador,60
2025-10-15,Computador,12
2025-10-16,Computador,56
2025-10-17,Computador,12
2025-10-18,Computador,7
2025-10-19,Computador,10
2025-10-20,Computador,31
2025-10-21,Computador,7
2025-10-22,Computador,15
2025-10-23,Computador,11
2025-10-24,Computador,1
2025-10-25,Computador,23
2025-10-26,Computador,21
2025-10-27,Computador,3
2025-10-28,Computador,18
2025-10-29,Computador,10
2025-10-30,Computador,17
2025-10-31,Computador,22
2025-11-01,Computador,19
2025-11-02,Computador,10
2025-11-03,Computador,22
2025-11-04,Computador,17
2025-11-05,Computador,17
2025-11-06,Computador,22
2025-11-07,Computador,10
2025-11-08,Computador,28
2025-11-09,Computador,11
2025-11-10,Computador,9
2025-11-11,Computador,11
2025-11-12,Computador,17
2025-11-13,Computador,15
2025-11-14,Computador,15
2025-11-15,Computador,9
2025-11-16,Computador,10
2025-11-17,Computador,46
2025-11-18,Computador,23
2025-11-19,Computador,24
2025-11-20,Computador,24
2025-11-21,Computador,10
2025-11-22,Computador,16
2025-11-23,Computador,19
2025-11-24,Computador,24
2025-11-25,Computador,16
2025-11-26,Computador,5
2025-11-27,Computador,7
2025-11-28,Computador,11
2025-11-29,Computador,6
2025-11-30,Computador,16
2025-12-01,Computador,34
2025-12-02,Computador,25
2025-12-03,Computador,9
2025-12-04,Computador,9
2025-12-05,Computador,15
2025-12-06,Computador,11
2025-12-07,Computador,13
2025-12-08,Computador,21
2025-12-09,Computador,24
2025-12-10,Computador,86
2025-12-11,Computador,10
2025-12-12,Computador,15
2025-12-13,Computador,4
