Data,Cidades,Nome da cidade,Visualizações
2025-04-13,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-04-14,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-04-15,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-04-16,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",1052
2025-04-17,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-04-18,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",75
2025-04-19,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",19
2025-04-20,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-04-21,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",58
2025-04-22,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",18
2025-04-23,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-04-24,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-04-25,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",33
2025-04-26,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-04-27,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-04-28,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-04-29,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-04-30,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",31
2025-05-01,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",28
2025-05-02,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-05-03,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-05-04,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",35
2025-05-05,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-05-06,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-05-07,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-05-08,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-05-09,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-05-10,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-05-11,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-05-12,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-05-13,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-05-14,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-05-15,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-05-16,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",29
2025-05-17,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-05-18,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-05-19,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-05-20,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-05-21,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-05-22,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-05-23,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-05-24,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-05-25,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-05-26,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-05-27,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-05-28,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-05-29,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-05-30,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-05-31,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-06-01,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-06-02,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-06-03,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-06-04,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",32
2025-06-05,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-06-06,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-06-07,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-06-08,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-06-09,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-06-10,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",846
2025-06-11,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",146
2025-06-12,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-06-13,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-06-14,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-06-15,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-06-16,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-06-17,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",23
2025-06-18,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-06-19,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-06-20,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-06-21,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-06-22,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-06-23,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-06-24,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-06-25,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-06-26,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-06-27,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-06-28,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-06-29,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-06-30,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-07-01,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-07-02,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-07-03,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-07-04,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-07-05,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-07-06,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-07-07,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-07-08,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-07-09,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-07-10,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-07-11,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-07-12,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-07-13,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-07-14,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-07-15,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-07-16,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-07-17,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-07-18,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-07-19,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-07-20,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-07-21,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-07-22,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-07-23,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-07-24,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-07-25,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-07-26,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-07-27,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-07-28,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-07-29,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-07-30,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-07-31,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-08-01,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-08-02,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-08-03,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-08-04,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-08-05,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-08-06,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-08-07,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-08-08,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-08-09,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-08-10,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-08-11,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-08-12,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-08-13,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",97
2025-08-14,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-08-15,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-08-16,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-08-17,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-08-18,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-08-19,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-08-20,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-08-21,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-08-22,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-08-23,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-08-24,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-08-25,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-08-26,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-08-27,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-08-28,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-08-29,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-08-30,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-08-31,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-09-01,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-09-02,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-09-03,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-09-04,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-09-05,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-09-06,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-09-07,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-09-08,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-09-09,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-09-10,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-09-11,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-09-12,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-09-13,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-09-14,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-09-15,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-09-16,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-09-17,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-09-18,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-09-19,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-09-20,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-09-21,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-09-22,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-09-23,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-09-24,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-09-25,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-09-26,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-09-27,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-09-28,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-09-29,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-09-30,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-10-01,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",20
2025-10-02,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-10-03,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-10-04,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-10-05,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-10-06,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-10-07,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-10-08,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-10-09,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",37
2025-10-10,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-10-11,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-10-12,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-10-13,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-10-14,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-10-15,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-10-16,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-10-17,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-10-18,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-10-19,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-10-20,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-10-21,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-10-22,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-10-23,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-10-24,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-10-25,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-10-26,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-10-27,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-10-28,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
2025-10-29,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",31
2025-10-30,0x85ce0026db097507:0x54061076265ee841,"Cidade do México, Distrito Federal, México",0
