Conteúdo,Título do vídeo,Horário de publicação do vídeo,Duração,Visualizações,Tempo de exibição (horas),Inscritos,Impressões,Taxa de cliques de impressões (%)
Total,,,,2417175,6058.743,2077,1567583,4.3
d9IXHaFVZXQ,El final JAJAJA😭😂Si va a fallar… que al menos esté oliendo bien 😌,"Feb 18, 2026",17,1807809,4537.7607,1006,46935,5.51
HllWtkIKZOE,"ES HOY ES HOY, PARAGUAY FIU FIII ❤️🤍💙","Jun 10, 2025",11,165811,278.6737,526,601050,3.63
G--iELM8KRI,Quando o marketing vai gravar 🤣 #trendingshorts #viralvideos #paraguai,"Apr 16, 2025",19,42526,125.2451,83,730,4.38
Tks9Y3tAfb8,27 de febrero de 2026,"Feb 27, 2026",8,25850,38.7849,10,475,3.58
60VdQnFPqdQ,🚗🔥 ¿Buscás el mejor parlante para tu auto?,"Apr 30, 2025",36,23892,97.9968,18,116565,5.74
yfmNYMt0nUw,Si Neymar Usa Aiwa,"Mar 10, 2025",26,10571,38.601,7,76035,4.44
X0ebFAxGmNo,Xiaomi Pad 7 🤩 La tablet que lo tiene TODO 💥📲,"Mar 28, 2025",50,10545,62.5091,13,93668,3.82
9CkTK3MVbWw,Lanzamiento Xiaomi Redmi A5,"Mar 28, 2025",37,9631,47.2288,21,67270,3.68
O1YjWBV87zc,Tablets por menos de 1.000.000 Gs,"Mar 24, 2025",29,7172,26.1318,39,30727,8.19
pGrwvmJZhLY,21 de marzo de 2026,"Mar 21, 2026",6,5752,5.8999,2,764,1.44
jnzC0x0U53w,Xiaomi 17 Pro Max,"Oct 29, 2025",64,5476,41.0392,48,26188,9.34
uJxOF7JzgE4,Teléfono itel A90,"Jul 11, 2025",42,5230,25.9695,20,25267,7.81
r_1Jb0ctx7c,Dicen que el Día de los Niños es un día mágico ✨,"Aug 13, 2025",30,4856,16.0434,14,1146,0.87
MNk4oVQgJZg,Vale a pena comprar Garmin no Paraguai? 🤔,"Sep 4, 2025",43,4292,24.4378,42,21439,7.72
DzxD2Kei3qg,🎨 ¿LA MEJOR TABLET PARA NIÑOS? Ideal para jugar y aprender 🧸📱,"Apr 4, 2025",23,4290,18.5113,17,31945,5.9
Qm5YYNWVZTU,📱 El celular más económico de Xiaomi 😱¡El nuevo Redmi A5 ya está disponible en Mega Electrónicos! 🔥,"Jun 18, 2025",30,3861,13.683,8,19987,2.79
Js0-VQe_CG4,19 de febrero de 2026,"Feb 19, 2026",38,3785,14.9881,6,694,2.74
c1Y1K_PsMdM,¿Cómo hacerme feliz? 🤣,"Dec 19, 2025",14,3447,7.3083,2,599,0.33
Spc9AgZSVVY,¡🔊 Potencia que anima cualquier fiesta!,"May 26, 2025",38,3352,12.7813,2,22735,4.62
jCSMUhq5sZc,🇵🇾⚽ ¡Esta semana vibra Paraguay con la Albirroja!,"Sep 1, 2025",34,3327,11.609,11,13239,6.17
XAx1y6iylhA,Unboxing del DOOGEE Blade10 Pro Energy 🚀,"Oct 15, 2025",39,3054,14.439,4,16526,7.04
RFAHojxGmcM,✨📺 ¡Nuevo lanzamiento Audisat! 📺✨,"Oct 2, 2025",39,2978,15.8535,7,16622,7.86
rTSwpNV-38o,Galaxy s26: Filtraciones y otros lanzamientos,"Feb 23, 2026",62,2908,16.105,1,862,2.55
j6pR1426UKQ,📱 El celular más económico de Xiaomi 😱,"Jun 14, 2025",30,2664,5.4038,2,15054,1.87
ZjvccNk0ymk,📱💥 ¡Un pequeño gigante que sorprende!Te presentamos el Realme C75,"Jun 30, 2025",43,2627,7.9984,5,5892,4.18
YuNRD5CYoUk,"🙃 Al parecer, el estrés éramos nosotros","Apr 25, 2025",6,2342,2.1749,0,432,0.69
JgswQ9HVsv0,🇦🇷 vs 🇵🇾 Otro capítulo de... ¡precios comparativos! 📉🔥¿Seguís pagando de más en Argentina?,"May 24, 2025",40,2335,8.8484,4,4887,8.08
EoriV4UYVyQ,Celulares por Menos de un Millón de Guaraníes! 📱,"Mar 17, 2025",28,2144,9.1305,8,10115,6.35
TMoTgu5mStE,No compres ningún auricular antes de ver este: Mibro Open-Ear Pro,"Dec 16, 2025",30,2132,3.3465,1,944,6.04
4Yv5mbV7h1o,Nuevo IPhone Air,"Sep 21, 2025",24,2021,3.9376,1,367,0.82
Lm3WmjVY1c8,💻📱🎶 ¡Precios comparativos que te van a romper la cabeza! Argentina 🇦🇷 vs Paraguay 🇵🇾,"Jun 26, 2025",40,1936,7.7027,7,6842,5.67
nqu5wrnbjOc,"Mi Cuchi Cuchi, Part 2","Feb 11, 2026",56,1934,3.3459,0,790,1.39
XyJeG-OI-HE,✨ El reloj más lindo de Mibro llegó para quedarse ✨,"Jul 30, 2025",25,1913,6.5418,3,8585,6.66
iy1HgKP-rvM,#Vencer o Morir 🔥🔥,"Sep 10, 2025",33,1900,3.1765,2,894,6.6
FPUHPwH4rnk,🎉 SAVE THE DATE – Porque el trabajo en equipo también merece ser celebrado 🥳🎉,"May 23, 2025",8,1891,2.0761,0,569,0.35
vfrE1pDvnXc,"Celulares por menos de R$1000,00","Aug 31, 2025",32,1888,2.864,3,704,2.84
VwMHsWw7E_Q,¿Ya conocés Celimax? 👀✨,"Apr 4, 2026",79,1881,2.448,2,290,3.79
Si0sBA_Jv6Y,Vos ya prometiste algo si la Albirroja gana esta noche?👀,"Sep 4, 2025",50,1879,7.2465,5,4609,5.51
BCY3NH5SBi8,"⌚ ¿Un reloj que aguanta hasta 10 días encendido?Sí, existe…","Feb 16, 2026",30,1865,3.3771,2,1421,2.67
c0c3KiJ4STk,"🖥️ ¿Buscás un monitor ideal para trabajar, estudiar o jugar? ¡Xiaomi tiene el perfecto para vos!","May 29, 2025",63,1865,4.5697,2,7771,3.17
FQS0yWN-Jts,🚨 ¿El celular con la batería más duradera del mercado? ¡Ya está aquí!🔥,"Aug 7, 2025",32,1792,3.0778,1,1474,2.78
7UittC1W74o,Blackview Active 12 Pro 5G en Mega Electrónicos.,"Jan 30, 2026",48,1739,7.4281,4,1972,7.45
d_GpLd4vDSE,⚽️ El parlante preferido por nuestro futbolista estrella… ¡y el que enciende cualquier fiesta! 🔊,"Jul 15, 2025",41,1731,7.6644,0,11457,1.82
nhQ493lEdR0,Lanzamiento Realme 14 pro +,"May 15, 2025",49,1725,3.4967,0,212,0.94
OCzYO2RUu-E,📺✨ ¿Querés tu nueva TV y te preocupa cómo llevarla?¡Tenemos la solución! 🚚💨,"Sep 9, 2025",38,1704,2.5081,0,1650,2.91
IMUdNx8jeW8,🚨 No compres ninguna tablet antes de ver estos lanzamientos 👇,"Oct 21, 2025",53,1690,6.3982,4,4022,7.76
JnHpGgKNkvI,Xiaomi 17 ultra,"Oct 9, 2025",41,1681,4.7365,2,1077,3.06
