Data,Conteúdo,Título do vídeo,Horário de publicação do vídeo,Duração,Visualizações
2025-04-13,60VdQnFPqdQ,🚗🔥 ¿Buscás el mejor parlante para tu auto?,"Apr 30, 2025",36,0
2025-04-14,60VdQnFPqdQ,🚗🔥 ¿Buscás el mejor parlante para tu auto?,"Apr 30, 2025",36,0
2025-04-15,60VdQnFPqdQ,🚗🔥 ¿Buscás el mejor parlante para tu auto?,"Apr 30, 2025",36,0
2025-04-16,60VdQnFPqdQ,🚗🔥 ¿Buscás el mejor parlante para tu auto?,"Apr 30, 2025",36,0
2025-04-17,60VdQnFPqdQ,🚗🔥 ¿Buscás el mejor parlante para tu auto?,"Apr 30, 2025",36,0
2025-04-18,60VdQnFPqdQ,🚗🔥 ¿Buscás el mejor parlante para tu auto?,"Apr 30, 2025",36,0
2025-04-19,60VdQnFPqdQ,🚗🔥 ¿Buscás el mejor parlante para tu auto?,"Apr 30, 2025",36,0
2025-04-20,60VdQnFPqdQ,🚗🔥 ¿Buscás el mejor parlante para tu auto?,"Apr 30, 2025",36,0
2025-04-21,60VdQnFPqdQ,🚗🔥 ¿Buscás el mejor parlante para tu auto?,"Apr 30, 2025",36,0
2025-04-22,60VdQnFPqdQ,🚗🔥 ¿Buscás el mejor parlante para tu auto?,"Apr 30, 2025",36,0
2025-04-23,60VdQnFPqdQ,🚗🔥 ¿Buscás el mejor parlante para tu auto?,"Apr 30, 2025",36,0
2025-04-24,60VdQnFPqdQ,🚗🔥 ¿Buscás el mejor parlante para tu auto?,"Apr 30, 2025",36,0
2025-04-25,60VdQnFPqdQ,🚗🔥 ¿Buscás el mejor parlante para tu auto?,"Apr 30, 2025",36,0
2025-04-26,60VdQnFPqdQ,🚗🔥 ¿Buscás el mejor parlante para tu auto?,"Apr 30, 2025",36,0
2025-04-27,60VdQnFPqdQ,🚗🔥 ¿Buscás el mejor parlante para tu auto?,"Apr 30, 2025",36,0
2025-04-28,60VdQnFPqdQ,🚗🔥 ¿Buscás el mejor parlante para tu auto?,"Apr 30, 2025",36,0
2025-04-29,60VdQnFPqdQ,🚗🔥 ¿Buscás el mejor parlante para tu auto?,"Apr 30, 2025",36,0
2025-04-30,60VdQnFPqdQ,🚗🔥 ¿Buscás el mejor parlante para tu auto?,"Apr 30, 2025",36,212
2025-05-01,60VdQnFPqdQ,🚗🔥 ¿Buscás el mejor parlante para tu auto?,"Apr 30, 2025",36,1075
2025-05-02,60VdQnFPqdQ,🚗🔥 ¿Buscás el mejor parlante para tu auto?,"Apr 30, 2025",36,18
2025-05-03,60VdQnFPqdQ,🚗🔥 ¿Buscás el mejor parlante para tu auto?,"Apr 30, 2025",36,18
2025-05-04,60VdQnFPqdQ,🚗🔥 ¿Buscás el mejor parlante para tu auto?,"Apr 30, 2025",36,4
2025-05-05,60VdQnFPqdQ,🚗🔥 ¿Buscás el mejor parlante para tu auto?,"Apr 30, 2025",36,9
2025-05-06,60VdQnFPqdQ,🚗🔥 ¿Buscás el mejor parlante para tu auto?,"Apr 30, 2025",36,5
2025-05-07,60VdQnFPqdQ,🚗🔥 ¿Buscás el mejor parlante para tu auto?,"Apr 30, 2025",36,4
2025-05-08,60VdQnFPqdQ,🚗🔥 ¿Buscás el mejor parlante para tu auto?,"Apr 30, 2025",36,3
