Data,Espectadores novos e recorrentes,Visualizações
2025-04-13,Desconhecido,0
2025-04-14,Desconhecido,0
2025-04-15,Desconhecido,0
2025-04-16,Desconhecido,0
2025-04-17,Desconhecido,0
2025-04-18,Desconhecido,0
2025-04-19,Desconhecido,0
2025-04-20,Desconhecido,0
2025-04-21,Desconhecido,0
2025-04-22,Desconhecido,0
2025-04-23,Desconhecido,0
2025-04-24,Desconhecido,0
2025-04-25,Desconhecido,0
2025-04-26,Desconhecido,0
2025-04-27,Desconhecido,0
2025-04-28,Desconhecido,0
2025-04-29,Desconhecido,0
2025-04-30,Desconhecido,0
2025-05-01,Desconhecido,0
2025-05-02,Desconhecido,0
2025-05-03,Desconhecido,0
2025-05-04,Desconhecido,0
2025-05-05,Desconhecido,0
2025-05-06,Desconhecido,0
2025-05-07,Desconhecido,0
2025-05-08,Desconhecido,0
2025-05-09,Desconhecido,0
2025-05-10,Desconhecido,0
2025-05-11,Desconhecido,0
2025-05-12,Desconhecido,0
2025-05-13,Desconhecido,0
2025-05-14,Desconhecido,0
2025-05-15,Desconhecido,0
2025-05-16,Desconhecido,0
2025-05-17,Desconhecido,0
2025-05-18,Desconhecido,0
2025-05-19,Desconhecido,0
2025-05-20,Desconhecido,0
2025-05-21,Desconhecido,0
2025-05-22,Desconhecido,0
2025-05-23,Desconhecido,0
2025-05-24,Desconhecido,0
2025-05-25,Desconhecido,0
2025-05-26,Desconhecido,0
2025-05-27,Desconhecido,0
2025-05-28,Desconhecido,0
2025-05-29,Desconhecido,0
2025-05-30,Desconhecido,0
2025-05-31,Desconhecido,0
2025-06-01,Desconhecido,0
2025-06-02,Desconhecido,0
2025-06-03,Desconhecido,0
2025-06-04,Desconhecido,0
2025-06-05,Desconhecido,0
2025-06-06,Desconhecido,0
2025-06-07,Desconhecido,0
2025-06-08,Desconhecido,0
2025-06-09,Desconhecido,0
2025-06-10,Desconhecido,0
2025-06-11,Desconhecido,0
2025-06-12,Desconhecido,0
2025-06-13,Desconhecido,0
2025-06-14,Desconhecido,0
2025-06-15,Desconhecido,0
2025-06-16,Desconhecido,0
2025-06-17,Desconhecido,0
2025-06-18,Desconhecido,0
2025-06-19,Desconhecido,0
2025-06-20,Desconhecido,0
2025-06-21,Desconhecido,0
2025-06-22,Desconhecido,0
2025-06-23,Desconhecido,0
2025-06-24,Desconhecido,0
2025-06-25,Desconhecido,0
2025-06-26,Desconhecido,0
2025-06-27,Desconhecido,0
2025-06-28,Desconhecido,0
2025-06-29,Desconhecido,0
2025-06-30,Desconhecido,0
2025-07-01,Desconhecido,0
2025-07-02,Desconhecido,0
2025-07-03,Desconhecido,0
2025-07-04,Desconhecido,0
2025-07-05,Desconhecido,0
2025-07-06,Desconhecido,0
2025-07-07,Desconhecido,0
2025-07-08,Desconhecido,0
2025-07-09,Desconhecido,0
2025-07-10,Desconhecido,0
2025-07-11,Desconhecido,0
2025-07-12,Desconhecido,0
2025-07-13,Desconhecido,0
2025-07-14,Desconhecido,0
2025-07-15,Desconhecido,0
2025-07-16,Desconhecido,0
2025-07-17,Desconhecido,0
2025-07-18,Desconhecido,0
2025-07-19,Desconhecido,0
2025-07-20,Desconhecido,0
2025-07-21,Desconhecido,0
2025-07-22,Desconhecido,0
2025-07-23,Desconhecido,0
2025-07-24,Desconhecido,0
2025-07-25,Desconhecido,0
2025-07-26,Desconhecido,0
2025-07-27,Desconhecido,0
2025-07-28,Desconhecido,0
2025-07-29,Desconhecido,0
2025-07-30,Desconhecido,0
2025-07-31,Desconhecido,0
2025-08-01,Desconhecido,0
2025-08-02,Desconhecido,0
2025-08-03,Desconhecido,0
2025-08-04,Desconhecido,0
2025-08-05,Desconhecido,0
2025-08-06,Desconhecido,0
2025-08-07,Desconhecido,0
2025-08-08,Desconhecido,0
2025-08-09,Desconhecido,0
2025-08-10,Desconhecido,0
2025-08-11,Desconhecido,0
2025-08-12,Desconhecido,0
2025-08-13,Desconhecido,0
2025-08-14,Desconhecido,0
2025-08-15,Desconhecido,0
2025-08-16,Desconhecido,0
2025-08-17,Desconhecido,0
2025-08-18,Desconhecido,0
2025-08-19,Desconhecido,0
2025-08-20,Desconhecido,0
2025-08-21,Desconhecido,0
2025-08-22,Desconhecido,0
2025-08-23,Desconhecido,0
2025-08-24,Desconhecido,0
2025-08-25,Desconhecido,0
2025-08-26,Desconhecido,0
2025-08-27,Desconhecido,0
2025-08-28,Desconhecido,0
2025-08-29,Desconhecido,0
2025-08-30,Desconhecido,0
2025-08-31,Desconhecido,0
2025-09-01,Desconhecido,0
2025-09-02,Desconhecido,0
2025-09-03,Desconhecido,0
2025-09-04,Desconhecido,0
2025-09-05,Desconhecido,0
2025-09-06,Desconhecido,0
2025-09-07,Desconhecido,0
2025-09-08,Desconhecido,0
2025-09-09,Desconhecido,0
2025-09-10,Desconhecido,0
2025-09-11,Desconhecido,0
2025-09-12,Desconhecido,0
2025-09-13,Desconhecido,0
2025-09-14,Desconhecido,0
2025-09-15,Desconhecido,0
2025-09-16,Desconhecido,0
2025-09-17,Desconhecido,0
2025-09-18,Desconhecido,0
2025-09-19,Desconhecido,0
2025-09-20,Desconhecido,0
2025-09-21,Desconhecido,0
2025-09-22,Desconhecido,0
2025-09-23,Desconhecido,0
2025-09-24,Desconhecido,0
2025-09-25,Desconhecido,0
2025-09-26,Desconhecido,0
2025-09-27,Desconhecido,0
2025-09-28,Desconhecido,0
2025-09-29,Desconhecido,0
