Data,Visualizações
2025-04-13,2853
2025-04-14,309
2025-04-15,1917
2025-04-16,31167
2025-04-17,2163
2025-04-18,3693
2025-04-19,3879
2025-04-20,2408
2025-04-21,1584
2025-04-22,1068
2025-04-23,1761
2025-04-24,1216
2025-04-25,2572
2025-04-26,647
2025-04-27,1673
2025-04-28,599
2025-04-29,328
2025-04-30,1296
2025-05-01,1417
2025-05-02,337
2025-05-03,369
2025-05-04,2465
2025-05-05,516
2025-05-06,569
2025-05-07,659
2025-05-08,867
2025-05-09,283
2025-05-10,813
2025-05-11,295
2025-05-12,247
2025-05-13,245
2025-05-14,780
2025-05-15,969
2025-05-16,2092
2025-05-17,192
2025-05-18,200
2025-05-19,195
2025-05-20,512
2025-05-21,397
2025-05-22,1350
2025-05-23,3724
2025-05-24,1591
2025-05-25,250
2025-05-26,586
2025-05-27,2874
2025-05-28,788
2025-05-29,405
2025-05-30,1820
2025-05-31,504
2025-06-01,264
2025-06-02,323
2025-06-03,1185
2025-06-04,1200
2025-06-05,884
2025-06-06,738
2025-06-07,1014
2025-06-08,349
2025-06-09,1215
2025-06-10,26708
2025-06-11,8846
2025-06-12,1501
2025-06-13,1423
2025-06-14,2128
2025-06-15,1179
2025-06-16,855
2025-06-17,1184
2025-06-18,526
2025-06-19,934
2025-06-20,2010
2025-06-21,1228
2025-06-22,363
2025-06-23,317
2025-06-24,1361
2025-06-25,1087
2025-06-26,496
2025-06-27,1135
2025-06-28,1067
2025-06-29,327
2025-06-30,1710
2025-07-01,792
2025-07-02,224
2025-07-03,198
2025-07-04,240
2025-07-05,247
2025-07-06,243
2025-07-07,268
2025-07-08,1131
2025-07-09,373
2025-07-10,203
2025-07-11,506
2025-07-12,312
2025-07-13,266
2025-07-14,559
2025-07-15,861
2025-07-16,628
2025-07-17,1352
2025-07-18,433
2025-07-19,1240
2025-07-20,310
2025-07-21,505
2025-07-22,275
2025-07-23,1139
2025-07-24,474
2025-07-25,415
2025-07-26,252
2025-07-27,205
2025-07-28,301
2025-07-29,564
2025-07-30,1243
2025-07-31,344
2025-08-01,229
2025-08-02,1233
2025-08-03,267
2025-08-04,275
2025-08-05,322
2025-08-06,281
2025-08-07,1660
2025-08-08,603
2025-08-09,309
2025-08-10,318
2025-08-11,243
2025-08-12,310
2025-08-13,4635
2025-08-14,483
2025-08-15,415
2025-08-16,410
2025-08-17,269
2025-08-18,430
2025-08-19,256
2025-08-20,318
2025-08-21,779
2025-08-22,440
2025-08-23,433
2025-08-24,393
2025-08-25,653
2025-08-26,2513
2025-08-27,828
2025-08-28,415
2025-08-29,642
2025-08-30,318
2025-08-31,2298
2025-09-01,2089
2025-09-02,776
2025-09-03,1503
2025-09-04,5881
2025-09-05,4526
2025-09-06,2255
2025-09-07,1437
2025-09-08,1476
2025-09-09,6682
2025-09-10,3980
2025-09-11,1536
2025-09-12,1438
2025-09-13,1741
2025-09-14,1450
2025-09-15,1363
2025-09-16,1170
2025-09-17,1205
2025-09-18,1076
2025-09-19,1228
2025-09-20,2000
2025-09-21,2945
2025-09-22,1224
2025-09-23,1362
2025-09-24,1026
2025-09-25,1509
2025-09-26,1024
2025-09-27,1054
2025-09-28,1540
2025-09-29,818
2025-09-30,1797
2025-10-01,1348
2025-10-02,765
2025-10-03,785
2025-10-04,771
2025-10-05,873
2025-10-06,2407
2025-10-07,1238
2025-10-08,1139
2025-10-09,2886
2025-10-10,1569
2025-10-11,1007
2025-10-12,844
2025-10-13,764
2025-10-14,1717
2025-10-15,791
2025-10-16,744
2025-10-17,862
2025-10-18,867
2025-10-19,837
2025-10-20,1253
2025-10-21,1673
2025-10-22,832
2025-10-23,1315
2025-10-24,886
2025-10-25,889
2025-10-26,826
2025-10-27,957
2025-10-28,898
2025-10-29,2732
2025-10-30,2102
2025-10-31,1784
2025-11-01,1074
2025-11-02,1049
2025-11-03,1103
2025-11-04,1352
2025-11-05,2079
2025-11-06,1432
2025-11-07,755
2025-11-08,819
2025-11-09,847
2025-11-10,810
2025-11-11,1957
2025-11-12,1040
2025-11-13,913
2025-11-14,1013
2025-11-15,1162
2025-11-16,1096
2025-11-17,869
2025-11-18,1957
2025-11-19,1661
2025-11-20,1262
2025-11-21,1066
2025-11-22,974
2025-11-23,1053
2025-11-24,1054
2025-11-25,867
2025-11-26,924
2025-11-27,924
2025-11-28,901
2025-11-29,908
2025-11-30,908
2025-12-01,875
2025-12-02,1878
2025-12-03,1650
2025-12-04,812
2025-12-05,993
2025-12-06,892
2025-12-07,885
2025-12-08,990
2025-12-09,1854
2025-12-10,2345
2025-12-11,2201
2025-12-12,2899
2025-12-13,1751
2025-12-14,2285
2025-12-15,3259
2025-12-16,3136
2025-12-17,2315
2025-12-18,1024
2025-12-19,2905
2025-12-20,2652
2025-12-21,1519
2025-12-22,1311
2025-12-23,2133
2025-12-24,2038
2025-12-25,836
2025-12-26,1672
2025-12-27,2066
2025-12-28,3800
2025-12-29,2309
2025-12-30,1673
2025-12-31,1837
2026-01-01,817
2026-01-02,976
2026-01-03,2953
2026-01-04,1817
2026-01-05,2158
2026-01-06,4866
2026-01-07,1861
2026-01-08,3281
2026-01-09,1759
2026-01-10,2043
2026-01-11,1191
2026-01-12,2715
2026-01-13,1412
2026-01-14,2686
2026-01-15,2380
2026-01-16,1214
2026-01-17,3363
2026-01-18,2198
2026-01-19,832
2026-01-20,1284
2026-01-21,2586
2026-01-22,824
2026-01-23,2159
2026-01-24,1104
2026-01-25,866
2026-01-26,1400
2026-01-27,2080
2026-01-28,1661
2026-01-29,950
2026-01-30,3214
2026-01-31,2897
2026-02-01,2205
2026-02-02,1991
2026-02-03,1069
2026-02-04,1312
2026-02-05,1939
2026-02-06,2821
2026-02-07,1165
2026-02-08,976
2026-02-09,1288
2026-02-10,1318
2026-02-11,1353
2026-02-12,2323
2026-02-13,1856
2026-02-14,1002
2026-02-15,2261
2026-02-16,1926
2026-02-17,2748
2026-02-18,3066
2026-02-19,2702
2026-02-20,3602
2026-02-21,197402
2026-02-22,139575
2026-02-23,157095
2026-02-24,95385
2026-02-25,116987
2026-02-26,80141
2026-02-27,54720
2026-02-28,59319
2026-03-01,37605
2026-03-02,6795
2026-03-03,6463
2026-03-04,5939
2026-03-05,6755
2026-03-06,3622
2026-03-07,4097
2026-03-08,4833
2026-03-09,3986
2026-03-10,2792
2026-03-11,22004
2026-03-12,34915
2026-03-13,24403
2026-03-14,63292
2026-03-15,125148
2026-03-16,108432
2026-03-17,47992
2026-03-18,15287
2026-03-19,6947
2026-03-20,6020
2026-03-21,13413
