Origem do tráfego,Visualizações,Tempo de exibição (horas),Duração média da visualização,Impressões,Taxa de cliques de impressões (%)
Total,2416101,6064.6909,0:00:17,1567583,4.3
Feed dos Shorts,2083865,5056.8817,0:00:16,,
Pesquisa do YouTube,270221,787.746,0:00:20,1310843,4.25
Páginas do canal,29529,81.3165,0:00:19,104341,1.82
Recursos de navegação,13501,68.7987,0:00:26,119347,7.01
Outros recursos do YouTube,12797,46.0587,0:00:24,,
Páginas de hashtag,1683,4.2612,0:00:19,,
Vídeos sugeridos,1415,7.7208,0:00:27,25602,3.86
Externa,1355,6.4115,0:00:24,,
Playlists,780,3.2864,0:00:16,7450,5.44
Páginas de música,490,1.095,0:00:15,,
Origem direta ou desconhecida,118,0.3209,0:00:09,,
Notificações,99,0.4508,0:00:31,,
Feed vertical ao vivo,5,0.0123,0:00:14,,
