País,Visualizações,Tempo de exibição (horas),Duração média da visualização
Total,2416101,6064.6909,0:00:17
MX,396657,982.1737,0:00:17
ES,300490,703.4824,0:00:16
AR,268155,697.2978,0:00:17
CO,223309,583.8842,0:00:17
PY,222126,477.5758,0:00:16
PE,121670,336.5425,0:00:19
US,113789,281.2481,0:00:17
VE,110727,287.6021,0:00:17
EC,90759,236.3937,0:00:17
CL,86637,214.763,0:00:17
DO,61780,161.9598,0:00:17
HN,52480,135.3597,0:00:17
GT,41936,102.2157,0:00:16
BR,41086,124.7036,0:00:22
SV,30014,73.5301,0:00:16
CR,29920,72.8987,0:00:16
BO,26193,69.3765,0:00:18
UY,24131,60.9853,0:00:17
PA,23545,61.1685,0:00:17
NI,22819,59.1964,0:00:17
CU,22453,63.1302,0:00:17
PR,17727,46.7684,0:00:18
IT,5931,13.9347,0:00:16
CA,3293,9.2596,0:00:18
DE,3204,7.503,0:00:15
FR,2995,8.055,0:00:18
PT,1828,4.2288,0:00:16
CH,1442,3.489,0:00:16
GB,1352,3.0886,0:00:15
NL,927,2.2931,0:00:16
GQ,584,1.7651,0:00:19
ID,535,0.9223,0:00:14
IN,514,1.0819,0:00:15
BE,477,1.1346,0:00:16
AD,340,0.8677,0:00:15
AU,325,0.7496,0:00:15
JP,304,0.7366,0:00:15
RO,301,0.686,0:00:15
BZ,286,0.726,0:00:18
PH,252,0.3857,0:00:12
RU,193,0.5143,0:00:16
SE,168,0.4224,0:00:16
UZ,139,0.1651,0:00:09
KZ,129,0.2636,0:00:16
AO,128,0.5915,0:00:23
MY,102,0.2002,0:00:14
CW,99,0.24,0:00:16
IE,91,0.2231,0:00:17
VN,88,0.1893,0:00:23
PL,80,0.2137,0:00:18
AT,78,0.1928,0:00:16
CZ,64,0.188,0:00:22
IL,62,0.167,0:00:16
DZ,61,0.187,0:00:21
SK,60,0.1706,0:00:22
KH,58,0.0651,0:00:10
TH,57,0.0563,0:00:08
GY,55,0.1534,0:00:17
MZ,53,0.231,0:00:21
AW,50,0.1216,0:00:17
BD,46,0.0501,0:00:12
KG,44,0.0603,0:00:15
MA,40,0.0946,0:00:15
TR,39,0.0602,0:00:14
TT,29,0.0794,0:00:16
HU,27,0.0851,0:00:18
BG,25,0.0726,0:00:21
MM,25,0.0325,0:00:07
DK,22,0.0649,0:00:20
LA,19,0.0252,0:00:07
IQ,18,0.0267,0:00:08
EG,18,0.0461,0:00:15
UA,0,0,
