Data,País,Visualizações
2025-04-13,AD,0
2025-04-14,AD,0
2025-04-15,AD,0
2025-04-16,AD,0
2025-04-17,AD,0
2025-04-18,AD,0
2025-04-19,AD,0
2025-04-20,AD,0
2025-04-21,AD,0
2025-04-22,AD,0
2025-04-23,AD,0
2025-04-24,AD,0
2025-04-25,AD,0
2025-04-26,AD,0
2025-04-27,AD,0
2025-04-28,AD,0
2025-04-29,AD,0
2025-04-30,AD,0
2025-05-01,AD,0
2025-05-02,AD,0
2025-05-03,AD,0
2025-05-04,AD,0
2025-05-05,AD,0
2025-05-06,AD,0
2025-05-07,AD,0
2025-05-08,AD,0
2025-05-09,AD,0
2025-05-10,AD,0
2025-05-11,AD,0
2025-05-12,AD,0
2025-05-13,AD,0
2025-05-14,AD,0
2025-05-15,AD,0
2025-05-16,AD,0
2025-05-17,AD,0
2025-05-18,AD,0
2025-05-19,AD,0
2025-05-20,AD,0
2025-05-21,AD,0
2025-05-22,AD,0
2025-05-23,AD,0
2025-05-24,AD,0
2025-05-25,AD,0
2025-05-26,AD,0
2025-05-27,AD,0
2025-05-28,AD,0
2025-05-29,AD,0
2025-05-30,AD,0
2025-05-31,AD,0
2025-06-01,AD,0
2025-06-02,AD,0
2025-06-03,AD,0
2025-06-04,AD,0
2025-06-05,AD,0
2025-06-06,AD,0
2025-06-07,AD,0
2025-06-08,AD,0
2025-06-09,AD,0
2025-06-10,AD,0
2025-06-11,AD,0
2025-06-12,AD,0
2025-06-13,AD,0
2025-06-14,AD,0
2025-06-15,AD,0
2025-06-16,AD,0
2025-06-17,AD,0
2025-06-18,AD,0
2025-06-19,AD,0
2025-06-20,AD,0
2025-06-21,AD,0
2025-06-22,AD,0
2025-06-23,AD,0
2025-06-24,AD,0
2025-06-25,AD,0
2025-06-26,AD,0
2025-06-27,AD,0
2025-06-28,AD,0
2025-06-29,AD,0
2025-06-30,AD,0
2025-07-01,AD,0
2025-07-02,AD,0
2025-07-03,AD,0
2025-07-04,AD,0
2025-07-05,AD,0
2025-07-06,AD,0
2025-07-07,AD,0
2025-07-08,AD,0
2025-07-09,AD,0
2025-07-10,AD,0
2025-07-11,AD,0
2025-07-12,AD,0
2025-07-13,AD,0
2025-07-14,AD,0
2025-07-15,AD,0
2025-07-16,AD,0
2025-07-17,AD,0
2025-07-18,AD,0
2025-07-19,AD,0
2025-07-20,AD,0
2025-07-21,AD,0
2025-07-22,AD,0
2025-07-23,AD,0
2025-07-24,AD,0
2025-07-25,AD,0
2025-07-26,AD,0
2025-07-27,AD,0
2025-07-28,AD,0
2025-07-29,AD,0
2025-07-30,AD,0
2025-07-31,AD,0
2025-08-01,AD,0
2025-08-02,AD,0
2025-08-03,AD,0
2025-08-04,AD,0
2025-08-05,AD,0
2025-08-06,AD,0
2025-08-07,AD,0
2025-08-08,AD,0
2025-08-09,AD,0
2025-08-10,AD,0
2025-08-11,AD,0
2025-08-12,AD,0
2025-08-13,AD,0
2025-08-14,AD,0
