Sistema operacional,Visualizações,Tempo de exibição (horas),Duração média da visualização
Total,2416101,6064.6909,0:00:17
Android,1766063,4305.5635,0:00:17
iOS,277479,666.3242,0:00:16
Smart TV,83977,237.6634,0:00:18
Windows,79601,248.2033,0:00:20
WebOS,78700,228.5038,0:00:19
SO Roku,38771,113.7944,0:00:19
Amazon Fire OS,16332,46.9689,0:00:19
Vidaa,11505,31.6833,0:00:17
Macintosh,8673,23.6121,0:00:16
Nintendo Switch,8129,23.2658,0:00:19
ChromeOS,5003,14.6706,0:00:19
Playstation,3105,7.7394,0:00:16
Linux,2108,6.0067,0:00:18
Chromecast,1478,3.9595,0:00:17
Xbox,839,2.3366,0:00:18
Apple tvOS,826,5.7695,0:00:45
Tizen,23,0.0817,0:00:21
KaiOS,18,0.0625,0:00:14
Windows Mobile,2,0.0107,0:00:19
Desconhecido,0,0,
