"Identificação da Página","Nome da Página","Comentário de dados",Data,"Engajamentos de usuário único","Feedbacks negativos gerais","Feedbacks negativos gerais: Ocultar tudo","Feedbacks negativos gerais: Ocultar","Feedbacks negativos gerais: Denunciar como spam","Feedbacks negativos gerais: Descurtir Página","Feedbacks negativos gerais: Clique no botão ""X""","Feedbacks negativos únicos dos usuários"
606604395858804,"Mega Eletrônicos Paraguai",,01/09/2026,147,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,01/10/2026,141,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,01/11/2026,136,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,01/12/2026,127,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,01/13/2026,131,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,01/14/2026,119,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,01/15/2026,123,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,01/16/2026,88,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,01/17/2026,110,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,01/18/2026,107,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,01/19/2026,94,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,01/20/2026,92,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,01/21/2026,104,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,01/22/2026,169,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,01/23/2026,196,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,01/24/2026,247,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,01/25/2026,251,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,01/26/2026,205,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,01/27/2026,277,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,01/28/2026,279,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,01/29/2026,340,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,01/30/2026,350,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,01/31/2026,270,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/01/2026,119,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/02/2026,79,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/03/2026,91,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/04/2026,123,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/05/2026,94,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/06/2026,57,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/07/2026,60,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/08/2026,68,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/09/2026,63,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/10/2026,51,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/11/2026,54,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/12/2026,37,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/13/2026,46,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/14/2026,46,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/15/2026,50,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/16/2026,55,0,0,0,0,0,0,0
