"Identificação da Página","Nome da Página","Comentário de dados",Data,"Ganhos estimados (USD)","Ganhos estimados por Vídeo (USD)","Ganhos estimados com Estrelas (USD)","Visualizações monetizáveis do vídeo por no mínimo 1 minuto","RPM de visualização monetizável","CPM do anúncio (USD)","Engajamentos de usuário único","Feedbacks negativos gerais","Feedbacks negativos gerais: Ocultar tudo","Feedbacks negativos gerais: Ocultar","Feedbacks negativos gerais: Denunciar como spam","Feedbacks negativos gerais: Descurtir Página","Feedbacks negativos gerais: Clique no botão ""X""","Feedbacks negativos únicos dos usuários"
606604395858804,"Mega Eletrônicos Paraguai",,04/01/2026,0,0,0,0,0,0,271,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,04/02/2026,0,0,0,0,0,0,148,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,04/03/2026,0,0,0,0,0,0,301,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,04/04/2026,0,0,0,0,0,0,291,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,04/05/2026,0,0,0,0,0,5.79,258,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,04/06/2026,0,0,0,0,0,0,219,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,04/07/2026,0,0,0,0,0,0,212,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,04/08/2026,0,0,0,0,0,0,188,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,04/09/2026,0,0,0,0,0,0,103,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,04/10/2026,0,0,0,0,0,0,106,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,04/11/2026,0,0,0,0,0,0,158,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,04/12/2026,0,0,0,0,0,0,135,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,04/13/2026,0,0,0,0,0,0,119,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,04/14/2026,0,0,0,0,0,0,108,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,04/15/2026,0,0,0,0,0,0,113,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,04/16/2026,0,0,0,0,0,0,126,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,04/17/2026,0,0,0,0,0,0,123,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,04/18/2026,0,0,0,0,0,0,112,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,04/19/2026,0,0,0,0,0,0,145,0,0,0,0,0,0,0
