"Identificação da Página","Nome da Página","Comentário de dados",Data,"Ganhos estimados (USD)","Ganhos estimados por Vídeo (USD)","Ganhos estimados com Estrelas (USD)","Visualizações monetizáveis do vídeo por no mínimo 1 minuto","RPM de visualização monetizável","CPM do anúncio (USD)","Engajamentos de usuário único","Feedbacks negativos gerais","Feedbacks negativos gerais: Ocultar tudo","Feedbacks negativos gerais: Ocultar","Feedbacks negativos gerais: Denunciar como spam","Feedbacks negativos gerais: Descurtir Página","Feedbacks negativos gerais: Clique no botão ""X""","Feedbacks negativos únicos dos usuários"
606604395858804,"Mega Eletrônicos Paraguai",,02/01/2026,0,0,0,0,0,0,119,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/02/2026,0,0,0,0,0,0,79,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/03/2026,0,0,0,0,0,0,91,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/04/2026,0,0,0,0,0,0,123,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/05/2026,0,0,0,0,0,0,94,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/06/2026,0,0,0,0,0,0,57,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/07/2026,0,0,0,0,0,0,60,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/08/2026,0,0,0,0,0,0,68,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/09/2026,0,0,0,0,0,0,63,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/10/2026,0,0,0,0,0,0,51,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/11/2026,0,0,0,0,0,0,54,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/12/2026,0,0,0,0,0,0,37,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/13/2026,0,0,0,0,0,0,46,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/14/2026,0,0,0,0,0,0,46,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/15/2026,0,0,0,0,0,0,50,0,0,0,0,0,0,0
