"Número de identificação do ativo de vídeo","Identificação do vídeo universal","Identificação da Página","Nome da Página",Título,"Duração (s)","Horário de publicação","Rótulos personalizados","Comentário de dados",Data,Alcance,"Visualizações de 3 segundos do vídeo","Visualizações do vídeo de 1 minuto","Segundos de visualização","Média de Segundos de visualização","Visualizadores de 3 segundos","Visualizadores de 1 minuto","Visualizações do vídeo de 3 segundos de Posts turbinados","Visualizações do vídeo de 3 segundos de Posts orgânicos","Reações, comentários e compartilhamentos",Reações,Comentários,Compartilhamentos,"Segundos de visualização de Recomendações","Segundos de visualização de Seguidores","Média de Segundos de visualização de Recomendações","Média de Segundos de visualização de Compartilhamentos","Média de Segundos de visualização de Seguidores","Média de Segundos de visualização de Posts turbinados","Ganhos estimados (USD)","CPM do anúncio (USD)","Impressões do anúncio","Visualizações do vídeo de Seguidores por no mínimo 1 minuto","Visualizações do vídeo de Recomendações por no mínimo 1 minuto"
1609914286752089,,606604395858804,"Mega Eletrônicos Paraguai",,65,"04/22/2026 14:39",,,04/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,
1609914286752089,,606604395858804,"Mega Eletrônicos Paraguai",,65,"04/22/2026 14:39",,,04/17/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,
1609914286752089,,606604395858804,"Mega Eletrônicos Paraguai",,65,"04/22/2026 14:39",,,04/18/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,
1609914286752089,,606604395858804,"Mega Eletrônicos Paraguai",,65,"04/22/2026 14:39",,,04/19/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,
1609914286752089,,606604395858804,"Mega Eletrônicos Paraguai",,65,"04/22/2026 14:39",,,04/20/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,
1609914286752089,,606604395858804,"Mega Eletrônicos Paraguai",,65,"04/22/2026 14:39",,,04/21/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,
1609914286752089,,606604395858804,"Mega Eletrônicos Paraguai",,65,"04/22/2026 14:39",,,04/22/2026,59,33,7,855.831,14.03,33,7,0,33,0,0,0,0,170.312,685.519,10.6445,0,15.233755555556,0,0,0,0,6,1
3479273508889533,,606604395858804,"Mega Eletrônicos Paraguai",,59,"04/13/2026 15:00",,,04/16/2026,19,8,0,125.098,6.254,8,0,0,8,0,0,0,0,63.823,61.275,5.8020909090909,0,6.8083333333333,0,0,0,0,,
3479273508889533,,606604395858804,"Mega Eletrônicos Paraguai",,59,"04/13/2026 15:00",,,04/17/2026,25,16,0,300.852,10.374,16,0,0,16,2,2,0,0,184.556,116.296,13.182571428571,0,7.7530666666667,0,0,0,0,,
3479273508889533,,606604395858804,"Mega Eletrônicos Paraguai",,59,"04/13/2026 15:00",,,04/18/2026,18,7,0,80.281,3.49,7,0,0,7,0,0,0,0,41.381,38.9,2.9557857142857,0,4.3222222222222,0,0,0,0,,
3479273508889533,,606604395858804,"Mega Eletrônicos Paraguai",,59,"04/13/2026 15:00",,,04/19/2026,35,14,0,372.022,11.625,14,0,0,14,1,1,0,0,165.753,206.269,11.0502,0,12.133470588235,0,0,0,0,,
3479273508889533,,606604395858804,"Mega Eletrônicos Paraguai",,59,"04/13/2026 15:00",,,04/20/2026,23,8,0,119.903,5.213,8,0,0,8,0,0,0,0,25.509,94.394,2.5509,0,7.2610769230769,0,0,0,0,,
3479273508889533,,606604395858804,"Mega Eletrônicos Paraguai",,59,"04/13/2026 15:00",,,04/21/2026,20,8,0,75.076,4.416,8,0,0,8,0,0,0,0,42.307,32.769,5.288375,0,3.641,0,0,0,0,,
3479273508889533,,606604395858804,"Mega Eletrônicos Paraguai",,59,"04/13/2026 15:00",,,04/22/2026,16,8,0,64.799,4.628,8,0,0,8,0,0,0,0,34.969,29.83,4.9955714285714,0,4.2614285714286,0,0,0,0,,
4295482994073628,,606604395858804,"Mega Eletrônicos Paraguai",,78,"04/10/2026 14:42",,,04/16/2026,16,6,0,70.769,4.162,6,0,0,6,0,0,0,0,39.686,31.083,4.4095555555556,0,3.885375,0,0,0,0,,
4295482994073628,,606604395858804,"Mega Eletrônicos Paraguai",,78,"04/10/2026 14:42",,,04/17/2026,21,14,1,275.686,11.986,14,1,0,14,0,0,0,0,244.898,30.788,16.326533333333,0,3.8485,0,0,0,0,,1
4295482994073628,,606604395858804,"Mega Eletrônicos Paraguai",,78,"04/10/2026 14:42",,,04/18/2026,15,6,2,287.89,23.99,6,2,0,6,0,0,0,0,266.901,20.989,29.655666666667,0,6.9963333333333,0,0,0,0,,2
4295482994073628,,606604395858804,"Mega Eletrônicos Paraguai",,78,"04/10/2026 14:42",,,04/19/2026,28,16,1,203.981,7.845,16,1,0,16,0,0,0,0,75.518,128.463,5.0345333333333,0,11.678454545455,0,0,0,0,1,
4295482994073628,,606604395858804,"Mega Eletrônicos Paraguai",,78,"04/10/2026 14:42",,,04/20/2026,18,5,1,117.965,8.426,5,1,0,5,0,0,0,0,16.347,101.618,2.043375,0,16.936333333333,0,0,0,0,1,
4295482994073628,,606604395858804,"Mega Eletrônicos Paraguai",,78,"04/10/2026 14:42",,,04/21/2026,19,6,0,58.387,4.491,6,0,0,6,0,0,0,0,25.434,32.953,4.239,0,4.7075714285714,0,0,0,0,,
4295482994073628,,606604395858804,"Mega Eletrônicos Paraguai",,78,"04/10/2026 14:42",,,04/22/2026,14,5,1,159.337,12.256,5,1,0,5,0,0,0,0,69.352,89.985,8.669,0,17.997,0,0,0,0,1,
943866934906893,,606604395858804,"Mega Eletrônicos Paraguai",,46,"04/09/2026 14:01",,,04/16/2026,13,4,0,48.395,3.226,4,0,0,4,0,0,0,0,38.788,9.607,3.8788,0,1.9214,0,0,0,0,,
943866934906893,,606604395858804,"Mega Eletrônicos Paraguai",,46,"04/09/2026 14:01",,,04/17/2026,17,9,0,166.318,7.919,9,0,0,9,1,1,0,0,59.268,107.05,4.939,0,11.894444444444,0,0,0,0,,
943866934906893,,606604395858804,"Mega Eletrônicos Paraguai",,46,"04/09/2026 14:01",,,04/18/2026,12,5,0,70.937,5.911,5,0,0,5,0,0,0,0,66.72,4.217,7.4133333333333,0,1.4056666666667,0,0,0,0,,
943866934906893,,606604395858804,"Mega Eletrônicos Paraguai",,46,"04/09/2026 14:01",,,04/19/2026,27,18,0,227.711,9.108,18,0,0,18,1,1,0,0,143.287,84.424,9.5524666666667,0,8.4424,0,0,0,0,,
943866934906893,,606604395858804,"Mega Eletrônicos Paraguai",,46,"04/09/2026 14:01",,,04/20/2026,14,3,0,34.064,3.096,3,0,0,3,0,0,0,0,16.384,17.68,2.7306666666667,0,3.536,0,0,0,0,,
