"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,"Visitas ao perfil",Respostas,Navegação,"Cliques no link","Toques em figurinhas"
18109736095854660,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Produtos com até 75% Off Bom dia pessoal 🥰✨",0,"04/16/2026 05:24",https://www.instagram.com/stories/megaeletronicosoficialpy/3876562445078653053,"Story do Instagram",,Total,8382,7430,28,7,4,40,2,7578,,
17962143722914767,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Perfume Masculino Lacoste L'Homme EDT 100 ml U$ 29.90-R$ 152.79 Valor sujeito a alteração",0,"04/16/2026 05:30",https://www.instagram.com/stories/megaeletronicosoficialpy/3876565170235383478,"Story do Instagram",,Total,8038,7004,20,20,,14,2,7343,26,
18406134565198301,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Perfume Unisex Feel Misk Al Khayr Extrait de Parfum 100 ml U$ 6.90-R$ 35.26 Valor sujeito a alteração",0,"04/16/2026 05:35",https://www.instagram.com/stories/megaeletronicosoficialpy/3876567789779611431,"Story do Instagram",,Total,7843,6801,16,17,1,5,3,7295,18,
18134154691547724,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Loção Hidratante Victoria's Secret Midnight Bloom 236 ml U$ 9.90-R$ 50.59 Valor sujeito a alteração",0,"04/16/2026 05:41",https://www.instagram.com/stories/megaeletronicosoficialpy/3876570643063958067,"Story do Instagram",,Total,7790,6647,18,67,2,12,4,7166,45,
18179202805376131,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Colônia Feminina Victoria's Secret Love Spell 250 ml U$ 9.90-R$ 50.59 Valor sujeito a alteração",0,"04/16/2026 05:44",https://www.instagram.com/stories/megaeletronicosoficialpy/3876572474364146318,"Story do Instagram",,Total,7804,6567,23,70,,8,4,7215,61,
18066436292669438,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Colônia Feminina Victoria's Secret Aqua Kiss 250 ml U$ 9.90-R$ 50.59 Valor sujeito a alteração",0,"04/16/2026 05:48",https://www.instagram.com/stories/megaeletronicosoficialpy/3876574151498584986,"Story do Instagram",,Total,7625,6502,17,30,2,12,2,7228,47,
18004373435883079,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Tudo em cosméticos com até 75% Off",0,"04/16/2026 05:51",https://www.instagram.com/stories/megaeletronicosoficialpy/3876575955552619566,"Story do Instagram",,Total,7984,6385,21,29,2,29,6,7253,588,
18161481526429077,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"04/16/2026 08:43",https://www.instagram.com/stories/megaeletronicosoficialpy/3876662688953259961,"Story do Instagram",,Total,7661,6616,17,15,1,15,1,6660,,8
18117428056639501,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"04/16/2026 08:43",https://www.instagram.com/stories/megaeletronicosoficialpy/3876662725410127359,"Story do Instagram",,Total,7514,6434,15,32,,8,2,6670,,2
18165357715425454,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"04/16/2026 08:43",https://www.instagram.com/stories/megaeletronicosoficialpy/3876662764995997918,"Story do Instagram",,Total,7329,6330,14,5,,6,1,6738,,33
