"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,"Visitas ao perfil",Respostas,"Toques em figurinhas",Navegação,"Cliques no link"
17947775355136063,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Máscara Capilar Tsubaki Pink Premium Repair 180 gr U$ 20.00-R$ 102.40 Valor sujeito a alteração",9,"04/11/2026 05:41",https://www.instagram.com/stories/megaeletronicosoficialpy/3872947156081048647,"Story do Instagram",,Total,4433,4174,4,3,1,4,0,,4229,1
18174008980405475,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,16,"04/20/2026 12:41",https://www.instagram.com/stories/megaeletronicosoficialpy/3879671610793805164,"Story do Instagram",,Total,3734,3032,14,4,,21,2,,3166,
18093204344164897,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,10,"04/20/2026 12:09",https://www.instagram.com/stories/megaeletronicosoficialpy/3879665141918758596,"Story do Instagram",,Total,3964,3259,11,0,,6,0,,3528,
18065611319687991,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Do dia 07 até dia 10 de maio te esperamos 🤩🥰",17,"04/20/2026 11:12",https://www.instagram.com/stories/megaeletronicosoficialpy/3879636407858307726,"Story do Instagram",,Total,4497,3488,17,10,,8,2,,4057,
18119470309561712,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,14,"04/20/2026 10:57",https://www.instagram.com/stories/megaeletronicosoficialpy/3879629020623652260,"Story do Instagram",,Total,4670,3583,9,6,,5,5,,3515,
18062225864411380,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,16,"04/20/2026 10:52",https://www.instagram.com/stories/megaeletronicosoficialpy/3879626466753872733,"Story do Instagram",,Total,4402,3654,10,2,,5,0,,3913,
18112725628796380,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Dia maravilhoso por aqui 🥰
Loja cheia 💙 aguardamos vocês até as 16:30hs ! @megaelectronicosparaguay",16,"04/20/2026 08:58",https://www.instagram.com/stories/megaeletronicosoficialpy/3879569271991427367,"Story do Instagram",,Total,6235,5038,4,4,,8,0,,4327,
17893697700446618,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,20,"04/20/2026 04:16",https://www.instagram.com/stories/megaeletronicosoficialpy/3879426997835310489,"Story do Instagram",,Total,5282,4541,6,0,1,25,0,,5104,
18578651077008943,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Corre que hoje tá daquele jeito: loja lotada e ofertas voando 💨🔥",0,"04/20/2026 04:11",https://www.instagram.com/stories/megaeletronicosoficialpy/3879424555424952600,"Story do Instagram",,Total,5429,4704,11,4,3,10,2,,5118,
18126211648584512,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Te esperamos até as 16:30 Bom dia pessoal 🥰😉",0,"04/20/2026 04:01",https://www.instagram.com/stories/megaeletronicosoficialpy/3879419394166140091,"Story do Instagram",,Total,5847,4837,19,6,2,14,3,,5583,
18170443663371783,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"04/20/2026 03:24",https://www.instagram.com/stories/megaeletronicosoficialpy/3879400857414410601,"Story do Instagram",,Total,6261,4946,10,3,,11,0,19,5806,
18097608398014521,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"04/20/2026 03:23",https://www.instagram.com/stories/megaeletronicosoficialpy/3879400657027386903,"Story do Instagram",,Total,6057,5085,11,29,2,11,0,27,5783,
18020603699654178,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"04/20/2026 03:23",https://www.instagram.com/stories/megaeletronicosoficialpy/3879400513095640109,"Story do Instagram",,Total,5852,5222,9,3,,6,1,5,5699,
18099371803834820,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"04/20/2026 03:23",https://www.instagram.com/stories/megaeletronicosoficialpy/3879400433521267174,"Story do Instagram",,Total,5980,5337,8,11,,10,0,13,5764,
18092485496274974,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"04/20/2026 03:23",https://www.instagram.com/stories/megaeletronicosoficialpy/3879400378492009613,"Story do Instagram",,Total,6277,5442,13,5,,5,1,5,6025,
