"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,Comentários,Salvamentos
17898735138388590,17841401573017083,comprasparaguai,"Compras Paraguai","🚨🎮 ATENÇÃO, GAMERS! Olha o que o Compras Paraguai encontrou na @megaeletronicosoficialpy !

Se você curte performance, velocidade e aquele visual insano, prepara o coração! 💥 Na Mega Eletrônicos tem celulares gamers Infinix que entregam potência de verdade para rodar seus jogos favoritos sem travar!

🔥 Processador forte
⚡ Tela rápida e fluida
🎧 Experiência imersiva
🔋 Bateria pra aguentar horas de gameplay
💰 Preço que vale a pena no Paraguai

Se a missão é jogar no máximo desempenho, a Mega Eletrônicos é a loja certa em Ciudad del Este! 🎯

✅ O Compras Paraguai é um site comparador de preços das melhores lojas do Paraguai. Não vendemos nem enviamos qualquer produto para o Brasil.

✅ Para comprar com segurança recomendamos que você venha pessoalmente até as lojas de Ciudad del Este que indicamos em nossas plataformas.

#MegaEletrônicos
#ComprasParaguai
#InfinixGamer
#CelularGamer
#TecnologiaNoParaguai",89,"02/16/2026 02:25",https://www.instagram.com/reel/DU0LtbPDoH6/,"Reel do Instagram",,Total,30490,,226,55,,14,0
18280694773304839,17841464916071217,gtideproducts,"G-Tide Products",,27,"02/16/2026 04:11",https://www.instagram.com/reel/DU0XqejjeJn/,"Reel do Instagram",,Total,19237,,274,10,,5,0
18093647263999657,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","✨ O celular perfeito para o Mestre de obras ao Arquiteto 📐

Imagine apresentar seus projetos, renders ou avanços diretamente na parede… sem cabos, sem equipamentos extras.

O Blackview Xplore 2 com projetor integrado leva suas apresentações a outro nível.
Feito para profissionais que precisam de praticidade, potência e presença em cada reunião.

#tecnologia #smartphone #inovacao #megaeletronicos #paraguay #ciudaddeleste 📱✨",56,"02/17/2026 07:02",https://www.instagram.com/reel/DU3QJK_Ast-/,"Reel do Instagram",,Total,15425,11918,172,94,7,62,18
18066328085258651,17841401696555467,aventurese.comigo,"Edilaine Correia | Foz do Iguaçu | Influencer","Eletrônicos que valem a pena comprar no Paraguai 🇵🇾 

Onde? @megaeletronicosoficialpy 📍Monseñor Rodríguez esquina, Paraguai. 
⏰Seg a sexta das 06h às 16h30| sábado até as 15h.",0,"02/18/2026 04:01",https://www.instagram.com/reel/DU5gDZUDnLv/,"Reel do Instagram",,Total,74510,,1867,1777,,33,0
18095002180812714,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","O final KKKKKK 😭😂 

Se vai errar… que pelo menos esteja cheirando bem 😌✨

 Paco Rabanne Million Gold Elixir Parfum Intense 100 ml – U$ 67.00
 Paco Rabanne Invictus Victory EDP 100 ml – U$ 63.80
 Jean Paul Gaultier Scandal EDT 100 ml – U$ 64.00
 Paco Rabanne Black XS EDT 100 ml – U$ 62.00
 Montblanc Explorer EDP 100 ml – U$ 43.00
 Lattafa ASAD EDP 100 ml – U$ 16.50

Todos esses perfumes você encontra aqui na Mega Eletrônicos 💙
Te esperamos em Ciudad del Este, vem escolher o seu perfume favorito! ✨

#perfumes #fragancias #megaeletronicos #paraguay 😏",16,"02/18/2026 12:01",https://www.instagram.com/reel/DU6XM_hgiFM/,"Reel do Instagram",,Total,79673,42197,472,261,14,70,28
18124353625602869,17841477897874845,desbravaparaguai,"Desbrava Paraguai | Vida Real no Paraguai","iPhone 13, 14, 15, 16, 17 e praticamente TUDO da Apple você encontra na GIGANTE @megaeletronicosoficialpy aqui em Ciudad del Este 🇵🇾

📍É uma das primeiras lojas, passando a aduana paraguaia só olhar a direita que você já verá um prédio lindo escrito “Mega Eletrônicos”.

Siga a Mega e pra não perder nada já segue a gente aí @desbravaparaguai",66,"02/18/2026 13:29",https://www.instagram.com/reel/DU6gjMjEkyj/,"Reel do Instagram",,Total,307118,,9087,7893,,217,0
17847899469663272,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Feliz dia para quem diz “mais uma por garantia” 📸😂
Hoje celebramos quem faz mágica por trás das câmeras 

Feliz Dia do Camarógrafo e Fotógrafo 👏
#felizdiadofotografo #20defevereiro",0,"02/20/2026 05:52",https://www.instagram.com/reel/DU-2gVWkZTe/,"Reel do Instagram",,Total,22216,15072,224,24,1,10,6
18122840278562598,17841411892401375,fozcidadelinda,"Foz do Iguaçu Cidade Linda","CELULAR COM PROJETOR? 👀📱

Viemos até a @megaeletronicosoficialpy para mostrar essa novidade pra vocês: Blackview Xplore 2.

Um celular diferentão, praticamente indestrutível, que ainda conta com projetor embutido.

É o tipo de produto ideal pra quem é aventureiro ou trabalha em ambientes mais pesados. Um celular pra usar sem medo de quedas, e que ainda te permite transformar qualquer parede no seu próprio cinema particular.

Você encontra ele aqui na Mega por U$ 549,00, além de toda a linha completa da marca Blackview.

Aproveita e segue eles pra ficar por dentro de todas as novidades do mundo dos smartphones 📲",0,"02/20/2026 08:01",https://www.instagram.com/reel/DU_FOttkYFT/,"Reel do Instagram",,Total,48909,,690,486,,11,0
18566606023062715,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Última chance de viver a Mega Folia! 🎉✨

O evento mais animado do ano está chegando ao fim, mas ainda dá tempo de você fechar com chave de ouro! 🔑💰 Além das ofertas incríveis, preparamos uma experiência completa com música, drinks, dançarinas e aquela energia que só a Mega tem!

⚠️ CORRE: Estaremos abertos hoje só até às 15:00! Não deixe essa oportunidade passar, porque depois dessa, não tem mais! 🏃💨

📍 Te esperamos na Mega Eletrônicos!

#MegaFolia2026 #MegaEletronicos #Ofertas #Carnaval #Descontos",0,"02/21/2026 03:31",https://www.instagram.com/reel/DVBLEO_ke8m/,"Reel do Instagram",,Total,13095,11284,52,2,2,8,2
17895045348408496,17841406652483983,guiadafronteira,"Manu do Guia da Fronteira em Foz do Iguaçu 🇧🇷🇦🇷🇵🇾","Na Mega Beauty tem descontos de até 75% em produtos selecionados, todos originais, com validade prolongada até 2028/2029. 💄🤍 APROVEITA que só dura esse mês!

📍Onde encontrar? Na @megaeletronicosoficialpy localizada na rua Monseñor Rodriguez em Ciudad Del Este no Paraguay (do lado esquerdo).

⏰ Qual horário de atendimento? Segunda das 7h às 16h30 | terça à sexta das 6h30 às 16h30 | sábado das 6h às 15h | fechado aos domingos.",41,"02/21/2026 09:45",https://www.instagram.com/reel/DVB1jOXjpWX/,"Reel do Instagram",,Total,42693,,706,813,,34,0
