"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,Comentários,Salvamentos
18101634706661594,17841462447596208,explorandoafronteira,"Explorando a Fronteira por Nicolly Tavassi","Celulares, televisões, fone de ouvido e muito mais!

Esses são produtos que você vai encontrar na Hack Friday da Mega eletrônicos!!

Além disso, durante o dia acontecerão diversas promoções relâmpago que estão sendo avisadas 10 minutos antes nas lives da loja!!

Me conta o que achou dos preços e o que mais quer ver por aqui!!

#paraguai #comprasparaguai #blackfriday #cde",29,"11/20/2025 08:14",https://www.instagram.com/reel/DRSNRWLjh02/,"Reel do Instagram",,Total,44370,,492,213,,13,0
18128999368520972,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Rumores do iPhone 18 🍎👀
Esse aqui vai superar tudo… ou não? 😳
⚠️ Lembrando: por enquanto são apenas rumores, mas a expectativa já tá lá em cima.
👉 Qual cor você escolheria?

#iphone18 #apple #rumores #tecnologia #cores #iphone #applelovers #paraguay #ciudaddeleste #reels #tiktok #viral #technews #novidades",42,"01/18/2026 05:01",https://www.instagram.com/reel/DTpyb7ijcgW/,"Reel do Instagram",,Total,73642,47619,898,571,29,29,63
17845233051660270,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Eu com meu iPhone 17 💅
.
#meme #comprasparaguai #iphone17promax",11,"01/17/2026 11:55",https://www.instagram.com/reel/DTn9EyqkQgs/,"Reel do Instagram",,Total,127902,64929,1214,592,14,69,41
17929074324189404,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Com esse ventilador, passar calor não é uma opção.
Quem já cansou do calor, sabe 😎

📍 Mega Eletrônicos PY — a loja que ama bons preços 💚

#audisat #ventilador ##hogar #paraguay #ciudaddeleste  #viral 💨",38,"01/16/2026 11:00",https://www.instagram.com/reel/DTlSAxQjnRU/,"Reel do Instagram",,Total,28451,21659,152,33,5,3,12
18307768840268592,17841407601225083,dicadawinie,"Winie Anand","Na @megaeletronicosoficialpy vocês encontram o celular de 128 GB mais custo benefício aqui do Paraguai!

O A90 da marca Itel, tem 128gb , 4 gb de ram e custa apenas 72$ Dólares que convertendo hoje da em média 395 Reais e lembrando que os preços em reais podem variar de acordo com o câmbio do dia da loja!",0,"01/16/2026 05:43",https://www.instagram.com/reel/DTkrqZoDsQv/,"Reel do Instagram",,Total,49249,,474,286,,30,0
18092029027956567,17841401696555467,aventurese.comigo,"Edilaine Correia | Foz do Iguaçu | Influencer","O fone de ouvido mais barato do Paraguai 🇵🇾 😱

Onde? @megaeletronicosoficialpy 📍Monseñor Rodríguez esquina, Paraguai. 
⏰Seg a sexta das 06h às 16h30| sábado até as 15h.",0,"01/15/2026 11:22",https://www.instagram.com/reel/DTivocsju46/,"Reel do Instagram",,Total,47550,,837,742,,14,0
18073934900371148,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Aquele sinal divino que todo mundo precisava 😇✨
Fazer umas comprinhas na Mega Eletrônicos não faz mal pra ninguém 😉
📍 Mega Eletrônicos PY — a loja que ama bons preços 💚

#sinaldivino #comprinhas #promocoes #paraguay #viral ✨🛒",6,"01/14/2026 09:46",https://www.instagram.com/reel/DTf_8IEiQZL/,"Reel do Instagram",,Total,22188,13183,125,15,8,8,13
18063158192285311,17841469397735773,madeinparaguaii,"Comprar no Paraguai - Made in Py","Que país será ? 😂😂

Siga @madeinparaguaii",0,"01/14/2026 05:41",https://www.instagram.com/reel/DTfjxNPDcvl/,"Reel do Instagram",,Total,90364,,698,122,,16,0
18116392489597566,17841462447596208,explorandoafronteira,"Explorando a Fronteira por Nicolly Tavassi","Esse é o Infinix GT 30 Pro, um celular gamer muito bom e barato!

Ele tem um design super diferente, com led dinâmico atrás e que chama muita atenção!!

Essa é a opção perfeita pra quem procura um celular que não esquenta nem cai fps durante o uso, inclusive de jogos.

Você encontra o Infinix Gt30 Pro na @megaeletronicosoficialpy em Ciudad del Este no Paraguai!!

Marca alguém que precisa ver isso!!

#paraguai #comprasparaguai #celular #gamer",60,"01/13/2026 14:20",https://www.instagram.com/reel/DTd6NiYjqxp/,"Reel do Instagram",,Total,21102,,291,122,,14,0
17851244274616299,17841406652483983,guiadafronteira,"Manu do Guia da Fronteira em Foz do Iguaçu 🇧🇷🇦🇷🇵🇾","Se você busca um celular bom, bonito e por menos de U$300, presta atenção nesses lançamentos da Xiaomi Redmi. 📱 

📍Onde encontrar? Na @megaeletronicosoficialpy localizado na rua Monseñor Rodriguez em Ciudad Del Este no Paraguay (do lado esquerdo).

⏰ Qual horário de atendimento? Segunda das 7h às 16h30 | terça à sexta das 6h30 às 16h30 | sábado das 6h às 15h | fechado aos domingos.

👋🏻 Se gostou já salva essa dica e marca aqui o @ quer comprar um celular novo!",37,"01/11/2026 09:27",https://www.instagram.com/reel/DTYPKD8EYI3/,"Reel do Instagram",,Total,25919,,217,140,,14,0
