"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,"Visitas ao perfil",Respostas,Navegação,"Toques em figurinhas","Cliques no link",Likes
17885676684305693,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,20,"01/03/2026 04:59",https://www.instagram.com/stories/megaeletronicosoficialpy/3801928076771841657,"Story do Instagram",,Total,10780,8164,,71,,10,9,10249,,,26
18063796076557220,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,20,"01/03/2026 04:53",https://www.instagram.com/stories/megaeletronicosoficialpy/3801925232345858121,"Story do Instagram",,Total,10043,8130,,9,,2,1,9665,,,15
17852300118619466,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,60,"01/18/2026 08:58",https://www.instagram.com/stories/megaeletronicosoficialpy/3812919940794654027,"Story do Instagram",,Total,10115,8681,,9,6,78,3,9638,,,26
18098182439308054,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,42,"01/18/2026 08:58",https://www.instagram.com/stories/megaeletronicosoficialpy/3812919869432762279,"Story do Instagram",,Total,10872,9371,,63,3,18,0,9844,,,29
18094174153938539,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,11,"01/18/2026 08:58",https://www.instagram.com/stories/megaeletronicosoficialpy/3812919812046289691,"Story do Instagram",,Total,10819,9585,,17,1,16,6,9027,,,21
18075322199599195,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,38,"01/18/2026 08:57",https://www.instagram.com/stories/megaeletronicosoficialpy/3812919706366639134,"Story do Instagram",,Total,12053,10716,,6,3,49,3,11039,,,22
18083445055920711,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","@marcoseallan 🔥",21,"01/17/2026 06:22",https://www.instagram.com/stories/megaeletronicosoficialpy/3812116752726308531,"Story do Instagram",,Total,5360,4795,,3,2,25,3,5139,45,,16
17958739286900860,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"01/17/2026 05:51",https://www.instagram.com/stories/megaeletronicosoficialpy/3812101099197951730,"Story do Instagram",,Total,5348,4827,,1,,6,1,4990,5,,10
18068452142393542,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"01/17/2026 04:23",https://www.instagram.com/stories/megaeletronicosoficialpy/3812056888364866171,"Story do Instagram",,Total,4997,4451,,1,1,7,0,4656,7,,15
17888571042416591,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","✨ 💐 🌸",23,"01/17/2026 04:11",https://www.instagram.com/stories/megaeletronicosoficialpy/3812050923485757400,"Story do Instagram",,Total,5181,4532,,6,,6,1,4850,,175,18
17915357430266578,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,16,"01/17/2026 04:06",https://www.instagram.com/stories/megaeletronicosoficialpy/3812048226556671536,"Story do Instagram",,Total,5161,4633,,1,2,2,0,4923,,,16
17905848837341975,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","🔥 🔥",29,"01/17/2026 04:02",https://www.instagram.com/stories/megaeletronicosoficialpy/3812047037941221607,"Story do Instagram",,Total,5458,4784,,2,,3,0,5066,,176,18
18082035914521778,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","✨ ✨ Seu cabelo merece Karsell",23,"01/17/2026 03:59",https://www.instagram.com/stories/megaeletronicosoficialpy/3812044997286537191,"Story do Instagram",,Total,5435,4924,,12,,6,0,5105,,66,22
18104961685703444,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Bom dia! 
Hora de se cuidar 💄",22,"01/17/2026 03:17",https://www.instagram.com/stories/megaeletronicosoficialpy/3812023734329339627,"Story do Instagram",,Total,6021,5410,,0,4,20,2,5546,,,30
17935961040119197,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"01/16/2026 10:07",https://www.instagram.com/stories/megaeletronicosoficialpy/3811505032949527644,"Story do Instagram",,Total,5379,4616,,3,1,22,2,5077,10,,21
18084538361329951,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"01/16/2026 10:06",https://www.instagram.com/stories/megaeletronicosoficialpy/3811504936228867667,"Story do Instagram",,Total,5425,4724,,4,,6,0,4998,4,,15
17921546340236872,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"01/16/2026 10:06",https://www.instagram.com/stories/megaeletronicosoficialpy/3811504894134814558,"Story do Instagram",,Total,5621,4795,,27,1,8,4,5123,4,,22
18067104251628564,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"01/16/2026 10:06",https://www.instagram.com/stories/megaeletronicosoficialpy/3811504765621307017,"Story do Instagram",,Total,5830,5220,,3,1,19,2,5221,11,,16
18104794507685700,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,9,"01/16/2026 04:23",https://www.instagram.com/stories/megaeletronicosoficialpy/3811332159676970549,"Story do Instagram",,Total,5559,5082,,0,,16,2,5215,,,5
17889295896286759,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,8,"01/16/2026 04:23",https://www.instagram.com/stories/megaeletronicosoficialpy/3811332051824650563,"Story do Instagram",,Total,5577,5172,,1,,1,1,5208,,,7
18556405792050400,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,10,"01/16/2026 04:23",https://www.instagram.com/stories/megaeletronicosoficialpy/3811331872979500906,"Story do Instagram",,Total,5777,5265,,3,,,1,5344,,,7
17937488495999006,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,10,"01/16/2026 04:22",https://www.instagram.com/stories/megaeletronicosoficialpy/3811331683078178184,"Story do Instagram",,Total,5943,5343,,4,,6,0,5413,,,9
18094932154937162,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,9,"01/16/2026 04:22",https://www.instagram.com/stories/megaeletronicosoficialpy/3811331590375713188,"Story do Instagram",,Total,6270,5477,,3,,4,0,5653,,,7
18108605761578661,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,8,"01/16/2026 04:22",https://www.instagram.com/stories/megaeletronicosoficialpy/3811331523417846554,"Story do Instagram",,Total,6447,5630,,4,,1,0,5627,,,10
18067675493191696,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Bom dia! 
Segurança nunca é demais ✨✅",16,"01/16/2026 04:22",https://www.instagram.com/stories/megaeletronicosoficialpy/3811331470133384411,"Story do Instagram",,Total,6624,5852,,1,,7,1,6087,,,16
18197918506335762,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"01/16/2026 03:36",https://www.instagram.com/stories/megaeletronicosoficialpy/3811308322214211183,"Story do Instagram",,Total,7637,6582,,5,2,29,7,6601,34,,35
17984334953783652,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Esperamos vocês nesse Sábado 17/01 Vamos a festar com @marcoseallan 🥳",28,"01/15/2026 06:59",https://www.instagram.com/stories/megaeletronicosoficialpy/3810685824753860466,"Story do Instagram",,Total,6290,5295,,12,2,55,3,5802,50,,28
18556449526054886,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Relógio Mibro Watch T1 U$ 21.00 - R$ 115.50 preço sujeito a alteração",0,"01/15/2026 05:13",https://www.instagram.com/stories/megaeletronicosoficialpy/3810632396837075056,"Story do Instagram",,Total,11258,9237,,16,1,12,3,5805,,12,13
17903553057343933,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Relógio Mibro GT U$ 59.00 - R$ 324.50 preço sujeito a alteração",17,"01/15/2026 05:10",https://www.instagram.com/stories/megaeletronicosoficialpy/3810630767316376184,"Story do Instagram",,Total,11119,9656,,10,,5,1,5853,,8,19
18055153223376686,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Relógio Mibro GS Active 2 U$ 49.50 - R$ 272.25 preço sujeito a alteração",0,"01/15/2026 05:06",https://www.instagram.com/stories/megaeletronicosoficialpy/3810628738598657496,"Story do Instagram",,Total,11622,9825,,6,2,13,0,6013,,2,12
18150068425435905,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Relógio Mibro Gs Pro  preço sujeito a alteração  U$ 50.50 - R$ 277.75",22,"01/15/2026 05:01",https://www.instagram.com/stories/megaeletronicosoficialpy/3810626386013552602,"Story do Instagram",,Total,12008,10081,,32,3,3,1,6175,,10,34
17874161127473469,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Vocês precisam ver os próximos stories ⌚ 👉 Fã de relógios?",0,"01/15/2026 04:50",https://www.instagram.com/stories/megaeletronicosoficialpy/3810620753692457695,"Story do Instagram",,Total,12789,10721,,3,,6,2,6233,,,15
18557606794062631,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Bom dia gente linda!! ☀️ Relógios da Marca Mibro",14,"01/15/2026 04:43",https://www.instagram.com/stories/megaeletronicosoficialpy/3810617190413089716,"Story do Instagram",,Total,7266,6512,,1,,33,0,6497,,,20
18006098555828478,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"01/14/2026 07:05",https://www.instagram.com/stories/megaeletronicosoficialpy/3809963838150933523,"Story do Instagram",,Total,5846,5084,,2,1,45,6,5651,10,,14
18030573584780432,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"01/14/2026 07:04",https://www.instagram.com/stories/megaeletronicosoficialpy/3809963802482549097,"Story do Instagram",,Total,5977,5274,,9,,9,0,5572,4,,10
17845733046647091,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"01/14/2026 07:04",https://www.instagram.com/stories/megaeletronicosoficialpy/3809963698413457685,"Story do Instagram",,Total,6308,5461,,2,1,13,3,5920,2,,13
17857520625597611,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Relógio Audisat X5 Pro com Bluetooth U$ 10.90-R$ 59.73 Valor sujeito a alteração",20,"01/14/2026 04:18",https://www.instagram.com/stories/megaeletronicosoficialpy/3809879973042427586,"Story do Instagram",,Total,6078,5034,,12,,15,2,5958,,,12
18092529937972593,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Fone de Ouvido Sem Fio Audisat X1 Pro com ENC U$ 4.99-R$ 27.35 Valor sujeito a alteração",20,"01/14/2026 04:14",https://www.instagram.com/stories/megaeletronicosoficialpy/3809878226341269139,"Story do Instagram",,Total,5903,5118,,6,,5,0,5824,,,10
18179506684368741,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Speaker Audisat X5 Power 10 watts U$ 6.90-R$ 37.81 Valor sujeito a alteração",20,"01/14/2026 04:12",https://www.instagram.com/stories/megaeletronicosoficialpy/3809876760163634611,"Story do Instagram",,Total,5990,5185,,2,,3,0,5932,,,12
18064780928240594,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Speaker Audisat X5 Play 10 watts U$ 5.90-R$ 32.33 Valor sujeito a alteração",20,"01/14/2026 04:09",https://www.instagram.com/stories/megaeletronicosoficialpy/3809875535636530380,"Story do Instagram",,Total,6318,5306,,4,,4,0,6261,,,15
18044638574502131,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Speaker Audisat X300 Boombox 3.000 watts  U$ 115.90-R$ 635.13 Valor sujeito a alteração",20,"01/14/2026 04:04",https://www.instagram.com/stories/megaeletronicosoficialpy/3809872913030573423,"Story do Instagram",,Total,6538,5521,,18,,7,2,6384,,,17
18092072902785679,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Bom dia! Hoje separamos alguns produtos Audisat pra mostrar pra vocês ✨ ✨ 🤩🔥",20,"01/14/2026 04:00",https://www.instagram.com/stories/megaeletronicosoficialpy/3809870755765813152,"Story do Instagram",,Total,7046,6194,,1,3,22,2,6699,,,32
17842060923675834,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"01/13/2026 06:55",https://www.instagram.com/stories/megaeletronicosoficialpy/3809234206237760429,"Story do Instagram",,Total,5054,4521,,3,,4,1,4754,15,,9
17889168669283687,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"01/13/2026 06:55",https://www.instagram.com/stories/megaeletronicosoficialpy/3809234011680782355,"Story do Instagram",,Total,5207,4573,,12,,1,2,4771,3,,11
18081759808955889,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"01/13/2026 06:54",https://www.instagram.com/stories/megaeletronicosoficialpy/3809233802863168638,"Story do Instagram",,Total,5157,4612,,9,1,1,0,4563,4,,13
18109636846726232,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"01/13/2026 06:54",https://www.instagram.com/stories/megaeletronicosoficialpy/3809233599808482533,"Story do Instagram",,Total,5173,4732,,1,,4,1,4565,18,,13
17960849850012836,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Mega Verão no ar! ☀️ ⛱️😎",9,"01/13/2026 06:13",https://www.instagram.com/stories/megaeletronicosoficialpy/3809213106162322343,"Story do Instagram",,Total,5033,4702,,0,,10,0,4837,,,9
17851302621617569,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,16,"01/13/2026 06:07",https://www.instagram.com/stories/megaeletronicosoficialpy/3809210766218848879,"Story do Instagram",,Total,5132,4809,,1,1,6,2,4957,,7,11
18098717326883611,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,14,"01/13/2026 05:59",https://www.instagram.com/stories/megaeletronicosoficialpy/3809206124281972336,"Story do Instagram",,Total,5365,4966,,1,,5,0,5177,,4,9
18076702379457815,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,15,"01/13/2026 05:54",https://www.instagram.com/stories/megaeletronicosoficialpy/3809203725140048414,"Story do Instagram",,Total,5602,5121,,0,1,7,0,5353,,8,9
17872422696498468,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,16,"01/13/2026 05:49",https://www.instagram.com/stories/megaeletronicosoficialpy/3809200909789015600,"Story do Instagram",,Total,5884,5361,,0,,9,0,5515,,3,13
18052508450678380,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Bom dia pessoal !! Te esperamos até as 16:30 ⛱️✨",15,"01/13/2026 04:36",https://www.instagram.com/stories/megaeletronicosoficialpy/3809164493826650982,"Story do Instagram",,Total,6830,6088,,0,,16,4,6136,,,16
18213063889312563,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"01/12/2026 10:48",https://www.instagram.com/stories/megaeletronicosoficialpy/3808626609470166904,"Story do Instagram",,Total,25757,17140,,26,13,45,0,6237,,13,17
17939642376111284,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Celular Infinix HOT 60 Pro U$ 135.00 preço sujeito a alteração",19,"01/12/2026 04:18",https://www.instagram.com/stories/megaeletronicosoficialpy/3808430596297928988,"Story do Instagram",,Total,6407,5583,,8,,33,2,5925,,21,15
18429141601114298,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Celular Infinix HOT 60 Pro+  U$ 155.00 preço sujeito a alteração",21,"01/12/2026 04:15",https://www.instagram.com/stories/megaeletronicosoficialpy/3808428892613591497,"Story do Instagram",,Total,6231,5528,,1,1,6,3,5932,,13,9
