"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,"Visitas ao perfil",Respostas,Navegação,Seguimentos,"Toques em figurinhas","Cliques no link"
18099815842674636,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,6,"11/05/2025 07:09",https://www.instagram.com/stories/megaeletronicosoficialpy/3759231835227421645,"Story do Instagram",,Total,10482,7868,15,1,33,5,9781,1,,
17913418704228263,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","U$ 1,250.00 - R$ 6,850.00 Apple iPhone 16 Pro Max A3084 eSIM 256GB 8GB RAM de 6.9"" 48+48+12MP 12MP - White Titanium preço sujeito a alteração",15,"11/05/2025 07:07",https://www.instagram.com/stories/megaeletronicosoficialpy/3759231010526581943,"Story do Instagram",,Total,11222,8126,32,54,25,3,10348,,,
18376047607148174,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Métodos de pago ‼️ ‼️",8,"11/18/2025 11:59",https://www.instagram.com/stories/megaeletronicosoficialpy/3768799848310061189,"Story do Instagram",,Total,17013,12150,30,23,155,11,13929,9,,
18545704840029779,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Dica de  Promoções relâmpago ✨ 🔥 🥳",25,"11/18/2025 11:52",https://www.instagram.com/stories/megaeletronicosoficialpy/3768796394544030691,"Story do Instagram",,Total,22803,16491,67,49,105,5,15584,21,,
18065080274429008,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"11/18/2025 08:19",https://www.instagram.com/stories/megaeletronicosoficialpy/3768689287253588965,"Story do Instagram",,Total,16717,11670,21,68,65,5,14834,9,,
17978510858945199,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","🔥🔥🔥 Muitos spoiler estão por aí 🫣",8,"11/18/2025 06:36",https://www.instagram.com/stories/megaeletronicosoficialpy/3768637219406994471,"Story do Instagram",,Total,16230,11345,38,1,50,13,13245,4,,
17983237025926269,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"11/18/2025 06:35",https://www.instagram.com/stories/megaeletronicosoficialpy/3768636779716955216,"Story do Instagram",,Total,21383,13953,20,92,11,6,16476,3,,
18085723756957596,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"11/18/2025 06:35",https://www.instagram.com/stories/megaeletronicosoficialpy/3768636722355680461,"Story do Instagram",,Total,21761,14072,23,104,16,5,16740,2,,
18077968847468410,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"11/18/2025 06:35",https://www.instagram.com/stories/megaeletronicosoficialpy/3768636664994332674,"Story do Instagram",,Total,21784,14140,18,45,2,2,17114,1,,
18065815175384004,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"11/18/2025 06:35",https://www.instagram.com/stories/megaeletronicosoficialpy/3768636609872853090,"Story do Instagram",,Total,22621,14264,27,97,12,1,17525,2,,
