"Date","Hour","Active followers"
"14 de abril","0","2373"
"14 de abril","1","1399"
"14 de abril","2","938"
"14 de abril","3","701"
"14 de abril","4","769"
"14 de abril","5","1318"
"14 de abril","6","2654"
"14 de abril","7","3936"
"14 de abril","8","3613"
"14 de abril","9","3672"
"14 de abril","10","3771"
"14 de abril","11","4255"
"14 de abril","12","5095"
"14 de abril","13","4835"
"14 de abril","14","4294"
"14 de abril","15","4242"
"14 de abril","16","4320"
"14 de abril","17","4593"
"14 de abril","18","5113"
"14 de abril","19","5455"
"14 de abril","20","5655"
"14 de abril","21","5828"
"14 de abril","22","5135"
"14 de abril","23","3874"
"15 de abril","0","2585"
"15 de abril","1","1433"
"15 de abril","2","906"
"15 de abril","3","687"
"15 de abril","4","799"
"15 de abril","5","1400"
"15 de abril","6","2545"
"15 de abril","7","3780"
"15 de abril","8","3528"
"15 de abril","9","3658"
"15 de abril","10","3789"
"15 de abril","11","4171"
"15 de abril","12","5007"
"15 de abril","13","4739"
"15 de abril","14","4205"
"15 de abril","15","4127"
"15 de abril","16","4262"
"15 de abril","17","4624"
"15 de abril","18","5046"
"15 de abril","19","5445"
"15 de abril","20","5702"
"15 de abril","21","5705"
"15 de abril","22","5144"
"15 de abril","23","4010"
"16 de abril","0","2491"
"16 de abril","1","1452"
"16 de abril","2","893"
"16 de abril","3","655"
"16 de abril","4","763"
"16 de abril","5","1423"
"16 de abril","6","2610"
"16 de abril","7","3851"
"16 de abril","8","3578"
"16 de abril","9","3622"
"16 de abril","10","3858"
"16 de abril","11","4198"
"16 de abril","12","4960"
"16 de abril","13","4794"
"16 de abril","14","4290"
"16 de abril","15","4151"
"16 de abril","16","4218"
"16 de abril","17","4701"
"16 de abril","18","5024"
"16 de abril","19","5454"
"16 de abril","20","5826"
"16 de abril","21","5897"
"16 de abril","22","5128"
"16 de abril","23","3980"
"17 de abril","0","2556"
"17 de abril","1","1452"
"17 de abril","2","956"
"17 de abril","3","701"
"17 de abril","4","789"
"17 de abril","5","1404"
"17 de abril","6","2558"
"17 de abril","7","3900"
"17 de abril","8","3628"
"17 de abril","9","3613"
"17 de abril","10","3762"
"17 de abril","11","4135"
"17 de abril","12","4822"
"17 de abril","13","4656"
"17 de abril","14","4216"
"17 de abril","15","4191"
"17 de abril","16","4310"
"17 de abril","17","4465"
"17 de abril","18","5071"
"17 de abril","19","5373"
"17 de abril","20","5434"
"17 de abril","21","5358"
"17 de abril","22","5144"
"17 de abril","23","4117"
"18 de abril","0","2877"
"18 de abril","1","1738"
"18 de abril","2","1097"
"18 de abril","3","821"
"18 de abril","4","762"
"18 de abril","5","1152"
"18 de abril","6","1998"
"18 de abril","7","3587"
"18 de abril","8","3744"
"18 de abril","9","3913"
"18 de abril","10","4024"
"18 de abril","11","4167"
"18 de abril","12","4575"
"18 de abril","13","4763"
"18 de abril","14","4575"
"18 de abril","15","4452"
"18 de abril","16","4534"
"18 de abril","17","4645"
"18 de abril","18","4826"
"18 de abril","19","5156"
"18 de abril","20","5104"
"18 de abril","21","5156"
"18 de abril","22","4826"
"18 de abril","23","3945"
"19 de abril","0","2868"
"19 de abril","1","1845"
"19 de abril","2","1189"
"19 de abril","3","830"
"19 de abril","4","741"
"19 de abril","5","914"
"19 de abril","6","1501"
"19 de abril","7","3059"
"19 de abril","8","3523"
"19 de abril","9","4156"
"19 de abril","10","4341"
"19 de abril","11","4513"
"19 de abril","12","4752"
"19 de abril","13","4933"
"19 de abril","14","4932"
"19 de abril","15","4892"
"19 de abril","16","4790"
"19 de abril","17","5003"
"19 de abril","18","5166"
"19 de abril","19","5281"
"19 de abril","20","5526"
"19 de abril","21","5740"
"19 de abril","22","5278"
"19 de abril","23","4072"
"20 de abril","0","2796"
"20 de abril","1","1620"
"20 de abril","2","1002"
"20 de abril","3","746"
"20 de abril","4","765"
"20 de abril","5","1253"
"20 de abril","6","2161"
"20 de abril","7","3646"
"20 de abril","8","3638"
"20 de abril","9","3842"
"20 de abril","10","4015"
"20 de abril","11","4416"
"20 de abril","12","5012"
"20 de abril","13","5038"
"20 de abril","14","4537"
"20 de abril","15","4536"
"20 de abril","16","4578"
"20 de abril","17","4938"
"20 de abril","18","5424"
"20 de abril","19","5786"
"20 de abril","20","5873"
"20 de abril","21","0"
"20 de abril","22","0"
"20 de abril","23","0"
