Conteúdo,Título do vídeo,Horário de publicação do vídeo,Duração,Visualizações,Tempo de exibição (horas),Inscritos,Impressões,Taxa de cliques de impressões (%)
Total,,,,88974,279.4155,226,129448,5.19
ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,5420,10.3727,7,299,4.35
UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,3781,7.8826,2,384,1.3
8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,3317,12.4439,6,17778,2.94
xgQjeeplapQ,Rumores do iPhone 18 🍎👀,"Jan 18, 2026",43,3254,15.5155,5,1808,4.65
_fN6SsIEXRw,"Se até o Neymar está usando, já sabe que é sucesso, né?","Mar 5, 2025",26,2358,7.8144,3,8542,10.91
98GuATPpMW0,"🎧✨ Comunicação profissional, sem fios e sem limites","Mar 20, 2026",51,2204,3.1255,4,306,1.96
i-8AlHUW8rw,Mini pc Econômico.,"Jan 30, 2026",53,2179,13.1125,19,404,3.96
ItqsJRgID1E,Mega Beauty: até 75% Off em cosméticos,"Jan 23, 2026",49,2126,2.841,1,268,1.49
6As-sOnYP-o,O dia a dia dos vendedores  😩#vendedor,"Jan 29, 2026",17,2125,3.9061,1,224,2.23
fYTDyxIFGNg,"Mega Beauty: Skincare coreano a partir de U$ 0,99","Jan 25, 2026",45,1897,3.0923,3,514,3.11
PxbzbkNU38k,Bom pra tomar um tereré 😂,"Feb 28, 2026",33,1666,3.638,3,233,1.29
xohdmdbhGTs,🎮 UNBOXING | GameSir G7 Pro Zenless Zone Zero – Edição Collection 🔥,"Jan 21, 2026",69,1650,4.9721,3,1153,3.47
CT_1rspf1oY,Aquele sinal divino que todo mundo precisava 😇✨,"Jan 14, 2026",7,1637,1.6162,0,306,0.98
VDHtcNY9Leg,Iniciou a Mega Folia 🎉🥳,"Feb 13, 2026",53,1553,3.0539,0,244,0.82
OiDKvLX055o,Itel a90,"Jul 13, 2025",48,1528,9.978,5,4765,5.1
dfPb1D1IQGI,Galaxy s26 Ultra,"Feb 21, 2026",55,1523,5.8609,5,366,1.09
7-ZJ8cMDHqE,O carnaval da mega está chegando: Mega Folia vem aí!😍,"Feb 12, 2026",16,1491,2.4846,0,790,0.38
GKOXnE5FU0M,⚡ Diretamente de Barcelona… chegou à Mega Eletrônicos,"Mar 18, 2026",57,1443,7.3849,5,1274,6.67
2ic5N4gE3Qg,Mais segurança pra sua casa com tecnologia de verdade 🔥📲,"Apr 1, 2026",42,1439,2.7197,3,514,1.95
5j3ybXKXvNg,O s26 mais barato do Paraguay,"Mar 4, 2026",74,1432,4.7882,5,391,7.67
STEnO-HvYVQ,Relógio premium por u$44? Mibro Lite 3 Pro,"Feb 14, 2026",32,1323,2.4365,0,523,4.97
4uBNTaTXY1Y,Totalmente identificada 🥹🤐💸#perfumes #lhaya #comprasnoparaguai #humor,"Mar 11, 2026",20,1320,2.1952,0,188,0.53
8AqjKfrBDd0,📱 Celulares por menos de R$500?,"Feb 5, 2026",83,1286,3.3614,0,776,4.9
iVMYBR-rSY8,12 de marzo de 2026,"Mar 12, 2026",41,1284,2.3037,2,246,3.25
wugW1eWdKA0,O novo iPhone 17e chega como um dos lançamentos mais interessantes da Apple,"Mar 18, 2026",47,1255,3.3545,2,1259,2.62
suwAmxrnL0o,26 de marzo de 2026,"Mar 26, 2026",34,1179,3.6131,4,173,2.89
VJrHe5xeTX4,Novo MacBook Neo,"Mar 17, 2026",49,1178,2.0988,3,284,4.93
4SmBSUT_Ye0,Melhor tablet para Gamer,"Feb 4, 2026",58,1167,3.0229,2,235,1.7
0yS8uYIlJfA,24 de marzo de 2026,"Mar 24, 2026",36,1160,1.2092,1,134,1.49
pmPdaBs51_M,24 de febrero de 2026,"Feb 24, 2026",64,1140,4.7967,6,187,2.67
VwOgPG2lIlc,Este lançamento da POCO vai explodir sua cabeça 🤯,"Mar 10, 2026",69,1133,3.6733,2,381,1.84
LXxz0B5ebd0,"💻🔥 Notebook potente, completo e com um preço que surpreende","Jan 30, 2026",58,1091,5.884,5,2113,8.9
eQukbjPSf2g,21 de marzo de 2026,"Mar 21, 2026",6,1061,0.9749,0,187,1.6
t5u6rO89qrE,Já estamos prontos pra você aproveitar essa Páscoa 🔥,"Apr 1, 2026",30,1057,3.1959,3,353,3.97
ZWWdXBjhaaE,📱⚔️ Novo VS: Google Pixel 10a vs iPhone 17e,"Mar 27, 2026",48,1045,4.3178,5,321,4.36
ACGTCR8v2TI,Algumas imagens não se gravam… se conquistam. 🎥✨,"Feb 7, 2026",34,1039,2.0179,1,501,2.4
A1Cm2hHzl70,A Crazy Week está chegando 🔥🤪,"Feb 22, 2026",11,995,1.1804,0,205,2.44
yjjgiIxwyRg,"Tablets por menos de r$ 600,00","Mar 21, 2025",25,987,3.6523,6,2508,9.81
xockSSOHZsY,"Com esse ventilador, passar calor não é uma opção","Jan 16, 2026",38,968,2.4418,2,573,2.79
2s5hXDyTn64,Todos reagiram igual à Juliana 😂🔥,"Feb 24, 2026",26,937,2.4453,2,179,0
Ki0jZ0az-Z4,O notebook mais em conta do Paraguai ( Audisat x100 ),"Sep 5, 2025",46,884,5.8539,3,2691,11.89
Ilb09-7DARw,9 de marzo de 2026,"Mar 9, 2026",52,866,2.4109,1,203,1.48
2KDhcKaj39I,13 de marzo de 2026,"Mar 13, 2026",43,856,2.5992,1,188,2.66
q6-09gP_JCc,Vem pra Mega Eletrônicos!,"Feb 27, 2026",14,833,1.4342,0,173,0.58
mHlTjym1E20,25 de marzo de 2026,"Mar 25, 2026",47,753,1.5797,1,120,2.5
L8YtkeKHJk4,Suas compras no paraguai 🇵🇾🤩,"Feb 10, 2025",28,711,2.2109,5,3150,7.62
C-m0vKTeQpE,¿Quer um relógio completo? ⌚,"Mar 25, 2026",58,687,1.8326,1,868,2.42
FyLPt0ugfvQ,Vale a pena comprar produtos apple no paraguai?,"Mar 24, 2025",28,653,3.0184,3,3694,3.19
cBnv9P5_AE4,Como chegar na Mega Eletrônicos? 📍🤩,"Mar 26, 2025",42,641,4.0996,1,3011,7.61
ZPUn1Igncfo,"Xiaomi 17 pro Max, disponível para venda 🤩","Dec 9, 2025",81,632,8.114,18,3819,10.13
gbymPSVCnZo,6 de marzo de 2026,"Mar 6, 2026",45,625,1.6086,2,175,2.86
FSKL5ltwWvA,"Ar condicionado 12.000 BTU Audisat Ac-12, o mais econômico do mercado 🤩","Sep 27, 2025",37,617,3.7725,6,2306,7.42
63ZwMmez1SY,Aquele sinal divino que todo mundo precisava 😇,"Jan 14, 2026",7,542,0.4188,0,266,1.88
r6fFkIo4KmE,26 de marzo de 2026,"Mar 26, 2026",49,539,1.6529,0,109,0.92
bLLPVxyqBHs,Gravador de voz ideal para aulas e reuniões!,"Apr 13, 2025",47,495,2.5116,1,3570,4.43
pk7inc3km_w,CarPlay Audisat: transforme a experiência do seu carro!,"Jan 2, 2026",45,482,3.6187,1,1686,12.99
nWUAt_JrItI,"Atouch Pro Kids, o melhor tablet infantil ✨","Jan 22, 2026",45,473,2.483,1,1622,6.29
TsDOcIV4guw,O celular mais resistente do mercado! 🚀,"Sep 25, 2025",55,429,2.3464,0,2144,4.8
PP2Wn3SrQ18,smartphone novo por menos de R$ 500?,"Mar 17, 2025",29,409,1.4339,4,1490,5.5
UaER8tgreeU,🚨 Não compre ar-condicionado antes de ver isso,"Jan 10, 2026",44,401,0.7867,0,455,3.96
fa0eKQOBIwI,3 de marzo de 2026,"Mar 3, 2026",47,390,1.3023,1,186,3.76
iLuqdMupYF4,16 de marzo de 2026,"Mar 16, 2026",31,390,0.5018,0,187,1.07
b6dYItNFI60,Este é o melhor microfone para gravações externas 🎤🔥,"Feb 3, 2026",40,358,0.5484,0,536,1.49
