Data,Conteúdo,Título do vídeo,Horário de publicação do vídeo,Duração,Visualizações
2026-01-09,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,44
2026-01-10,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,58
2026-01-11,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,20
2026-01-12,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,37
2026-01-13,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,22
2026-01-14,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,44
2026-01-15,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,33
2026-01-16,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,25
2026-01-17,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,31
2026-01-18,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,31
2026-01-19,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,55
2026-01-20,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,22
2026-01-21,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,38
2026-01-22,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,28
2026-01-23,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,40
2026-01-24,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,39
2026-01-25,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,27
2026-01-26,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,39
2026-01-27,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,25
2026-01-28,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,26
2026-01-29,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,36
2026-01-30,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,26
2026-01-31,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,36
2026-02-01,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,30
2026-02-02,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,17
2026-02-03,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,35
2026-02-04,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,23
2026-02-05,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,33
2026-02-06,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,34
2026-02-07,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,20
