Data,Visualizações
2026-01-09,327
2026-01-10,707
2026-01-11,205
2026-01-12,232
2026-01-13,215
2026-01-14,2241
2026-01-15,240
2026-01-16,1083
2026-01-17,1792
2026-01-18,1962
2026-01-19,891
2026-01-20,1557
2026-01-21,4616
2026-01-22,658
2026-01-23,2405
2026-01-24,252
2026-01-25,1952
2026-01-26,325
2026-01-27,229
2026-01-28,445
2026-01-29,2028
2026-01-30,1808
2026-01-31,1061
2026-02-01,680
2026-02-02,455
2026-02-03,365
2026-02-04,399
2026-02-05,2371
2026-02-06,252
2026-02-07,1204
2026-02-08,359
2026-02-09,240
2026-02-10,245
2026-02-11,204
2026-02-12,1637
2026-02-13,1520
2026-02-14,1487
2026-02-15,511
2026-02-16,317
2026-02-17,403
2026-02-18,1589
2026-02-19,705
2026-02-20,2038
2026-02-21,1007
2026-02-22,1299
2026-02-23,1198
2026-02-24,1558
2026-02-25,874
2026-02-26,557
2026-02-27,882
2026-02-28,2055
2026-03-01,710
2026-03-02,355
2026-03-03,395
2026-03-04,1776
2026-03-05,475
2026-03-06,874
2026-03-07,612
2026-03-08,259
2026-03-09,792
2026-03-10,822
2026-03-11,1972
2026-03-12,1908
2026-03-13,1198
2026-03-14,378
2026-03-15,283
2026-03-16,534
2026-03-17,1826
2026-03-18,1801
2026-03-19,1153
2026-03-20,482
2026-03-21,1966
2026-03-22,1317
2026-03-23,902
2026-03-24,1156
2026-03-25,2181
2026-03-26,1452
2026-03-27,1715
2026-03-28,389
2026-03-29,303
2026-03-30,276
2026-03-31,256
2026-04-01,2623
2026-04-02,293
2026-04-03,350
2026-04-04,479
2026-04-05,375
2026-04-06,225
2026-04-07,213
2026-04-08,256
