Data,Tráfego orgânico e pago,Visualizações
2026-01-09,Orgânico,327
2026-01-10,Orgânico,707
2026-01-11,Orgânico,205
2026-01-12,Orgânico,232
2026-01-13,Orgânico,215
2026-01-14,Orgânico,2241
2026-01-15,Orgânico,240
2026-01-16,Orgânico,1083
2026-01-17,Orgânico,1792
2026-01-18,Orgânico,1962
2026-01-19,Orgânico,891
2026-01-20,Orgânico,1557
2026-01-21,Orgânico,4616
2026-01-22,Orgânico,658
2026-01-23,Orgânico,2405
2026-01-24,Orgânico,252
2026-01-25,Orgânico,1952
2026-01-26,Orgânico,325
2026-01-27,Orgânico,229
2026-01-28,Orgânico,445
2026-01-29,Orgânico,2028
2026-01-30,Orgânico,1808
2026-01-31,Orgânico,1061
2026-02-01,Orgânico,680
2026-02-02,Orgânico,455
2026-02-03,Orgânico,365
2026-02-04,Orgânico,399
2026-02-05,Orgânico,2371
2026-02-06,Orgânico,252
2026-02-07,Orgânico,1204
2026-02-08,Orgânico,359
2026-02-09,Orgânico,240
2026-02-10,Orgânico,245
2026-02-11,Orgânico,204
2026-02-12,Orgânico,1637
2026-02-13,Orgânico,1520
2026-02-14,Orgânico,1487
2026-02-15,Orgânico,511
2026-02-16,Orgânico,317
2026-02-17,Orgânico,403
2026-02-18,Orgânico,1589
2026-02-19,Orgânico,705
2026-02-20,Orgânico,2038
2026-02-21,Orgânico,1007
2026-02-22,Orgânico,1299
2026-02-23,Orgânico,1198
2026-02-24,Orgânico,1558
2026-02-25,Orgânico,874
2026-02-26,Orgânico,557
2026-02-27,Orgânico,882
2026-02-28,Orgânico,2055
2026-03-01,Orgânico,710
2026-03-02,Orgânico,355
2026-03-03,Orgânico,395
2026-03-04,Orgânico,1776
2026-03-05,Orgânico,475
2026-03-06,Orgânico,874
2026-03-07,Orgânico,612
2026-03-08,Orgânico,259
2026-03-09,Orgânico,792
2026-03-10,Orgânico,819
2026-03-11,Orgânico,1968
2026-03-12,Orgânico,1908
2026-03-13,Orgânico,1199
2026-03-14,Orgânico,378
2026-03-15,Orgânico,283
2026-03-16,Orgânico,535
2026-03-17,Orgânico,1823
2026-03-18,Orgânico,1796
2026-03-19,Orgânico,1153
2026-03-20,Orgânico,482
2026-03-21,Orgânico,1961
2026-03-22,Orgânico,1315
2026-03-23,Orgânico,900
2026-03-24,Orgânico,1156
2026-03-25,Orgânico,2178
2026-03-26,Orgânico,1452
2026-03-27,Orgânico,1713
2026-03-28,Orgânico,389
2026-03-29,Orgânico,304
2026-03-30,Orgânico,276
2026-03-31,Orgânico,256
2026-04-01,Orgânico,2623
2026-04-02,Orgânico,293
2026-04-03,Orgânico,350
2026-04-04,Orgânico,479
2026-04-05,Orgânico,375
2026-04-06,Orgânico,225
2026-04-07,Orgânico,213
2026-04-08,Orgânico,256
